row_label_raw,row_label_full,Ông Nguyễn Văn Tuấn,Chủ tịch,numeric__Chủ tịch
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Thành viên,
Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Thành viên độc lập,
Ông Lê Bá Thọ,Ông Lê Bá Thọ,Ông Lê Bá Thọ,Thành viên,
Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Thành viên,
