row_label_raw,row_label_full,a. Đầu tư nằm giữ đến ngàyđáo hạn,Số cuối năm > Giá gốc > a. Đầu tư nằm giữ đến ngàyđáo hạn,Số cuối năm > VNDGiá trị ghi số > a. Đầu tư nằm giữ đến ngàyđáo hạn,Số đầu năm > Giá gốc > a. Đầu tư nằm giữ đến ngàyđáo hạn,Số đầu năm > VNDGiá trị ghi số > a. Đầu tư nằm giữ đến ngàyđáo hạn,numeric__Số cuối năm > Giá gốc > a. Đầu tư nằm giữ đến ngàyđáo hạn,numeric__Số cuối năm > VNDGiá trị ghi số > a. Đầu tư nằm giữ đến ngàyđáo hạn,numeric__Số đầu năm > Giá gốc > a. Đầu tư nằm giữ đến ngàyđáo hạn,numeric__Số đầu năm > VNDGiá trị ghi số > a. Đầu tư nằm giữ đến ngàyđáo hạn
a1) Ngắn hạn,a1) Ngắn hạn,a1) Ngắn hạn,5.585.000.000,5.585.000.000,5.000.000.000,5.000.000.000,5585000000.0,5585000000.0,5000000000.0,5000000000.0
Tiền gửi có kỳ hạn gốc trên 03tháng đến dưới 12 tháng (i),Tiền gửi có kỳ hạn gốc trên 03tháng đến dưới 12 tháng (i),Tiền gửi có kỳ hạn gốc trên 03tháng đến dưới 12 tháng (i),5.585.000.000,5.585.000.000,5.000.000.000,5.000.000.000,5585000000.0,5585000000.0,5000000000.0,5000000000.0
a2) Dài hạn,a2) Dài hạn,a2) Dài hạn,82.300.000,82.300.000,82.300.000,82.300.000,82300000.0,82300000.0,82300000.0,82300000.0
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,82.300.000,82.300.000,82.300.000,82.300.000,82300000.0,82300000.0,82300000.0,82300000.0
