row_label_raw,row_label_full,col_0,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1
,,,Hoạt độngbắt động sản,Hoạt động SXKDkhác,VNDTổng,Hoạt độngbắt động sản,Hoạt động SXKDkhác,VNDTổng,,,,,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.359.474.084.914,121.958.328.829,1.481.432.413.743,1.606.285.424.201,304.848.783.412,1.911.134.207.613,1359474084914.0,121958328829.0,1481432413743.0,1606285424201.0,304848783412.0,1911134207613.0
Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,Điều chỉnh cho thu nhập tính thuế,,,,,,,,,,,,
Trừ:,Điều chỉnh cho thu nhập tính thuế > Trừ:,Trừ:,(4.281.146.416),(175.809.604.823),(180.090.751.239),(7.362.512.864),(325.704.843.037),(333.067.355.901),-4281146416.0,-175809604823.0,-180090751239.0,-7362512864.0,-325704843037.0,-333067355901.0
Thu nhập từ cổ tức,Điều chỉnh cho thu nhập tính thuế > Thu nhập từ cổ tức,Thu nhập từ cổ tức,-,(163.723.208.000),(163.723.208.000),-,(302.899.543.952),(302.899.543.952),,-163723208000.0,-163723208000.0,,-302899543952.0,-302899543952.0
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,(4.281.146.416),(12.086.396.823),(16.367.543.239),(7.362.512.864),(4.860.668.567),(12.223.181.431),-4281146416.0,-12086396823.0,-16367543239.0,-7362512864.0,-4860668567.0,-12223181431.0
Điều chỉnh theo quyết định thanh tra thuế,Điều chỉnh cho thu nhập tính thuế > Điều chỉnh theo quyết định thanh tra thuế,Điều chỉnh theo quyết định thanh tra thuế,-,-,-,-,(17.944.630.518),(17.944.630.518),,,,,-17944630518.0,-17944630518.0
Cộng:,Điều chỉnh cho thu nhập tính thuế > Cộng:,Cộng:,15.860.952.278,118.738.647.404,134.599.599.682,48.552.035.609,51.189.254.832,99.741.290.441,15860952278.0,118738647404.0,134599599682.0,48552035609.0,51189254832.0,99741290441.0
Chi phí không được trừ khác,Điều chỉnh cho thu nhập tính thuế > Chi phí không được trừ khác,Chi phí không được trừ khác,11.481.530.298,118.073.142.372,129.554.672.670,6.645.957.156,51.189.254.832,57.835.211.988,11481530298.0,118073142372.0,129554672670.0,6645957156.0,51189254832.0,57835211988.0
Điều chỉnh khác,Điều chỉnh cho thu nhập tính thuế > Điều chỉnh khác,Điều chỉnh khác,72.014.423,-,72.014.423,-,-,-,72014423.0,,72014423.0,,,
Ảnh hưởng của các khoản chênh lệch tạm thời,Điều chỉnh cho thu nhập tính thuế > Ảnh hưởng của các khoản chênh lệch tạm thời,Ảnh hưởng của các khoản chênh lệch tạm thời,4.307.407.557,665.505.032,4.972.912.589,41.906.078.453,-,41.906.078.453,4307407557.0,665505032.0,4972912589.0,41906078453.0,,41906078453.0
Thu nhập tính thuế năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Thu nhập tính thuế năm hiện hành,Thu nhập tính thuế năm hiện hành,1.371.053.890.776,64.887.371.410,1.435.941.262.186,1.647.474.946.946,30.333.195.207,1.677.808.142.153,1371053890776.0,64887371410.0,1435941262186.0,1647474946946.0,30333195207.0,1677808142153.0
Thu nhập chịu thuế suất 20%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 20%,Thu nhập chịu thuế suất 20%,1.369.547.334.979,59.566.157.086,1.429.113.492.065,1.646.634.195.578,(9.388.614.321),1.637.245.581.257,1369547334979.0,59566157086.0,1429113492065.0,1646634195578.0,-9388614321.0,1637245581257.0
Thu nhập chịu thuế suất 17%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 17%,Thu nhập chịu thuế suất 17%,-,999.486.574,999.486.574,-,-,-,,999486574.0,999486574.0,,,
Thu nhập chịu thuế suất 10%,Điều chỉnh cho thu nhập tính thuế > Thu nhập chịu thuế suất 10%,Thu nhập chịu thuế suất 10%,1.506.555.797,4.321.727.750,5.828.283.547,840.751.368,39.721.809.528,40.562.560.896,1506555797.0,4321727750.0,5828283547.0,840751368.0,39721809528.0,40562560896.0
Chi phí thuế thu nhập doanh nghiệp phát sinh,Điều chỉnh cho thu nhập tính thuế > Chi phí thuế thu nhập doanh nghiệp phát sinh,Chi phí thuế thu nhập doanh nghiệp phát sinh,274.060.122.576,12.515.316.910,286.575.439.486,329.410.914.253,2.094.458.089,331.505.372.342,274060122576.0,12515316910.0,286575439486.0,329410914253.0,2094458089.0,331505372342.0
Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,Điều chỉnh cho thu nhập tính thuế > Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,Trừ: Số thuế thu nhập doanh nghiệp được miễn giảm,-,(301.042.747),(301.042.747),-,(1.986.090.478),(1.986.090.478),,-301042747.0,-301042747.0,,-1986090478.0,-1986090478.0
Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Điều chỉnh cho thu nhập tính thuế > Chi phí thuế thu nhập doanh nghiệp năm hiện hành,Chi phí thuế thu nhập doanh nghiệp năm hiện hành,274.060.122.576,12.214.274.163,286.274.396.739,329.410.914.253,108.367.611,329.519.281.864,274060122576.0,12214274163.0,286274396739.0,329410914253.0,108367611.0,329519281864.0
