row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,986.388.000,45.910.974.050,46.897.362.050,986388000.0,45910974050.0,46897362050.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.488.290.545,8.905.790.000,10.394.080.545,1488290545.0,8905790000.0,10394080545.0
TSCĐ Quỹ KHCN,Nguyên giá > TSCĐ Quỹ KHCN,TSCĐ Quỹ KHCN,-,125.000.000,125.000.000,,125000000.0,125000000.0
Giảm khác,Giảm khác,Giảm khác,,-,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,2.474.678.545,54.941.764.050,57.416.442.595,2474678545.0,54941764050.0,57416442595.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,693.110.400,23.383.481.899,24.076.592.299,693110400.0,23383481899.0,24076592299.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,58.727.651,16.867.498.905,16.926.226.556,58727651.0,16867498905.0,16926226556.0
- Khẩu hao,Khẩu hao > - Khẩu hao,- Khẩu hao,58.727.651,16.839.439.672,16.898.167.323,58727651.0,16839439672.0,16898167323.0
- Sử dụng Quỹ KH&CN,Khẩu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,-,28.059.233,28.059.233,,28059233.0,28059233.0
Giảm khác,Giảm khác,Giảm khác,,,-,,,
Số cuối năm,Giảm khác > Số cuối năm,Số cuối năm,693.110.400,40.250.980.804,41.002.818.855,693110400.0,40250980804.0,41002818855.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,293.277.600,22.527.492.151,22.820.769.751,293277600.0,22527492151.0,22820769751.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.781.568.145,14.690.783.246,16.413.623.740,1781568145.0,14690783246.0,16413623740.0
