row_label_raw,row_label_full,Báo cáo bộ phântheo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phântheo hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,Năm 2020,Năm 2019,,,,,,,,
Doanh thu bộ phân,Báo cáo bộ phântheo hoạt động kinh doanh > Doanh thu bộ phân,Doanh thu bộ phân,994.063.195.612,1.486.045.747.981,3.875.088.825.443,4.265.761.889.133,1.344.337.442.517,1.611.592.646.902,6.213.489.463.572,7.363.400.284.016,994063195612.0,1486045747981.0,3875088825443.0,4265761889133.0,1344337442517.0,1611592646902.0,6213489463572.0,7363400284016.0
Giá vốn bộ phân,Báo cáo bộ phântheo hoạt động kinh doanh > Giá vốn bộ phân,Giá vốn bộ phân,962.413.550.817,1.331.458.940.088,2.165.651.739.568,2.351.594.195.662,1.065.597.214.674,1.265.549.845.695,4.193.662.505.059,4.948.602.981.445,962413550817.0,1331458940088.0,2165651739568.0,2351594195662.0,1065597214674.0,1265549845695.0,4193662505059.0,4948602981445.0
Lợi nhuận gộp,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,31.649.644.795,154.586.807.893,1.709.437.085.875,1.914.167.693.471,278.740.227.843,346.042.801.207,2.019.826.958.513,2.414.797.302.571,31649644795.0,154586807893.0,1709437085875.0,1914167693471.0,278740227843.0,346042801207.0,2019826958513.0,2414797302571.0
Doanh thu hoạt động tài chính,Báo cáo bộ phântheo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,194.444.716.865,201.909.976.410,,,,,,,194444716865.0,201909976410.0
Chi phí tài chính,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,71.847.485.893,77.362.094.057,,,,,,,71847485893.0,77362094057.0
Chi phí bán hàng,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,627.174.280.551,749.508.041.635,,,,,,,627174280551.0,749508041635.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,230.818.746.809,209.810.817.534,,,,,,,230818746809.0,209810817534.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,1.284.431.162.125,1.580.026.325.755,,,,,,,1284431162125.0,1580026325755.0
Thu nhập khác,Báo cáo bộ phântheo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,38.140.987.044,33.110.011.771,,,,,,,38140987044.0,33110011771.0
Chi phí khác,Báo cáo bộ phântheo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,5.044.355.138,7.546.051.800,,,,,,,5044355138.0,7546051800.0
Lợi nhuận khác,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,33.096.631.906,25.563.959.971,,,,,,,33096631906.0,25563959971.0
Lợi nhuận trước thuế,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,1.317.527.794.031,1.605.590.285.726,,,,,,,1317527794031.0,1605590285726.0
Thuế TNDN,Báo cáo bộ phântheo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,213.177.287.706,251.355.228.208,,,,,,,213177287706.0,251355228208.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phântheo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,1.104.350.506.325,1.354.235.057.518,,,,,,,1104350506325.0,1354235057518.0
