row_label_raw,row_label_full,Tên Công ty,Địa chỉ,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,numeric__Địa chỉ,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,"02 Nguyễn Chí Thanh, thành phố Quảng Ngãi",Thương mại,100%,,,1.0
Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,,,
Địa chỉ:,Địa chỉ:,Địa chỉ:,"02 Nguyễn Chí Thanh, Phường Quảng Phú, TP. Quảng Ngãi, Tỉnh Quảng Ngãi","02 Nguyễn Chí Thanh, Phường Quảng Phú, TP. Quảng Ngãi, Tỉnh Quảng Ngãi","02 Nguyễn Chí Thanh, Phường Quảng Phú, TP. Quảng Ngãi, Tỉnh Quảng Ngãi",,,
Điện thoại:,Điện thoại:,Điện thoại:,(84) 0255.3726 110,(84) 0255.3726 110,(84) 0255.3726 110,,,
