row_label_raw,row_label_full,31/12/2020,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2020,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2020
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.184.842.111.835,(1.673.482.459.564),133.617.330.854,2.025.590.143.028,62.230.411.821,161.604.778.211,3184842111835.0,-1673482459564.0,133617330854.0,2025590143028.0,62230411821.0,161604778211.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.004.795.576.153,(1.542.142.419.349),52.226.412.899,1.005.033.987.347,178.535.932.835,153.630.734.541,2004795576153.0,-1542142419349.0,52226412899.0,1005033987347.0,178535932835.0,153630734541.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.039.555.814.306,(1.223.055.908.168),78.316.087.342,6.915.332.333.094,2.432.929.319.839,150.451.823.846,3039555814306.0,-1223055908168.0,78316087342.0,6915332333094.0,2432929319839.0,150451823846.0
Tổng cộng,Tổng cộng,Tổng cộng,8.229.193.502.294,(4.438.680.787.081),264.159.831.095,9.945.956.463.469,2.673.695.664.495,465.687.336.598,8229193502294.0,-4438680787081.0,264159831095.0,9945956463469.0,2673695664495.0,465687336598.0
01/01/2020,01/01/2020,01/01/2020,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Khấu hao TSCĐ Năm 2019,,,,,,
01/01/2020,01/01/2020,01/01/2020,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2019,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2020 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.265.845.432.900,(1.595.697.668.461),158.134.158.402,2.026.804.433.053,48.223.384.713,169.064.188.553,3265845432900.0,-1595697668461.0,158134158402.0,2026804433053.0,48223384713.0,169064188553.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2020 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.952.348.685.607,(1.408.421.948.069),46.410.536.014,1.090.798.511.641,203.743.738.198,154.544.994.221,1952348685607.0,-1408421948069.0,46410536014.0,1090798511641.0,203743738198.0,154544994221.0
Hoạt động SXKD khác,01/01/2020 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.004.302.605.678,(1.084.250.608.785),76.253.214.426,6.725.232.600.442,2.338.720.498.565,149.789.065.367,3004302605678.0,-1084250608785.0,76253214426.0,6725232600442.0,2338720498565.0,149789065367.0
Tổng cộng,01/01/2020 > Tổng cộng,Tổng cộng,8.222.496.724.185,(4.088.370.225.315),280.797.908.842,9.842.835.545.136,2.590.687.621.476,473.398.248.141,8222496724185.0,-4088370225315.0,280797908842.0,9842835545136.0,2590687621476.0,473398248141.0
