row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.368.416.606.867,6.470.784.751.679,287.980.629.388,95.314.736.251,8.222.496.724.185,1368416606867.0,6470784751679.0,287980629388.0,95314736251.0,8222496724185.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,3.792.505.394,6.831.154.660,414.500.000,2.114.815.182,13.152.975.236,3792505394.0,6831154660.0,414500000.0,2114815182.0,13152975236.0
Đ/tư XDCB h/thành,Nguyên giá > Đ/tư XDCB h/thành,Đ/tư XDCB h/thành,10.850.774.258,79.847.042.353,-,-,90.697.816.611,10850774258.0,79847042353.0,,,90697816611.0
TSCĐ Quỹ KHCN,Nguyên giá > TSCĐ Quỹ KHCN,TSCĐ Quỹ KHCN,-,-,-,1.468.800.000,1.468.800.000,,,,1468800000.0,1468800000.0
"T/lý, nhượng bán","Nguyên giá > T/lý, nhượng bán","T/lý, nhượng bán",,96.663.894.974,409.056.126,1.549.862.638,98.622.813.738,,96663894974.0,409056126.0,1549862638.0,98622813738.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,1.383.059.886.519,6.460.799.053.718,287.986.073.262,97.348.488.795,8.229.193.502.294,1383059886519.0,6460799053718.0,287986073262.0,97348488795.0,8229193502294.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,
Số đầu năm,Khấu hao > Số đầu năm,Số đầu năm,725.139.700.539,3.131.365.272.118,167.306.299.206,64.558.953.452,4.088.370.225.315,725139700539.0,3131365272118.0,167306299206.0,64558953452.0,4088370225315.0
Tăng trong năm,Khấu hao > Tăng trong năm,Tăng trong năm,83.414.724.280,340.621.204.502,12.117.881.497,12.779.565.225,448.933.375.504,83414724280.0,340621204502.0,12117881497.0,12779565225.0,448933375504.0
- Khấu hao,Khấu hao > - Khấu hao,- Khấu hao,83.414.724.280,340.621.204.502,12.117.881.497,12.635.358.996,448.789.169.275,83414724280.0,340621204502.0,12117881497.0,12635358996.0,448789169275.0
- Sử dụng Quỹ KH&CN,Khấu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,-,-,-,144.206.229,144.206.229,,,,144206229.0,144206229.0
"T/lý, nhượng bán","Khấu hao > T/lý, nhượng bán","T/lý, nhượng bán",,96.663.894.974,409.056.126,1.549.862.638,98.622.813.738,,96663894974.0,409056126.0,1549862638.0,98622813738.0
Số cuối năm,Khấu hao > Số cuối năm,Số cuối năm,808.554.424.819,3.375.322.581.646,179.015.124.577,75.788.656.039,4.438.680.787.081,808554424819.0,3375322581646.0,179015124577.0,75788656039.0,4438680787081.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,643.276.906.328,3.339.419.479.561,120.674.330.182,30.755.782.799,4.134.126.498.870,643276906328.0,3339419479561.0,120674330182.0,30755782799.0,4134126498870.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,574.505.461.700,3.085.476.472.072,108.970.948.685,21.559.832.756,3.790.512.715.213,574505461700.0,3085476472072.0,108970948685.0,21559832756.0,3790512715213.0
