row_label_raw,row_label_full,31/12/2020,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,419.589.966.019,-,419.589.966.019,419589966019.0,,419589966019.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.639.000.000.000,-,2.639.000.000.000,2639000000000.0,,2639000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,76.570.571.484,-,76.570.571.484,76570571484.0,,76570571484.0
Phải thu khác,Phải thu khác,Phải thu khác,30.615.362.511,412.183.710,31.027.546.221,30615362511.0,412183710.0,31027546221.0
Cộng,Cộng,Cộng,3.165.775.900.014,412.183.710,3.166.188.083.724,3165775900014.0,412183710.0,3166188083724.0
01/01/2020,01/01/2020,01/01/2020,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2020 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,211.157.417.797,-,211.157.417.797,211157417797.0,,211157417797.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2020 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,2.660.000.000.000,-,2.660.000.000.000,2660000000000.0,,2660000000000.0
Phải thu khách hàng,01/01/2020 > Phải thu khách hàng,Phải thu khách hàng,58.734.740.889,-,58.734.740.889,58734740889.0,,58734740889.0
Phải thu khác,01/01/2020 > Phải thu khác,Phải thu khác,32.966.504.485,690.181.497,33.656.685.982,32966504485.0,690181497.0,33656685982.0
Cộng,01/01/2020 > Cộng,Cộng,2.962.858.663.171,690.181.497,2.963.548.844.668,2962858663171.0,690181497.0,2963548844668.0
