row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,,
Trung tâm phát triển quỹ đất huyện Sóc Son,b. Dải hạn > Trung tâm phát triển quỹ đất huyện Sóc Son,Trung tâm phát triển quỹ đất huyện Sóc Son,104.921.205.123,239.921.205.123,104921205123.0,239921205123.0
Phải thu chi phí đền bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,b. Dải hạn > Phải thu chi phí đền bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,Phải thu chi phí đền bù giải phóng mặt bằng đối với diện tích không được giao sử dụng tại Phú Quốc,194.172.915.311,-,194172915311.0,
Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,b. Dải hạn > Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,Phải thu Công ty Cổ phần Đầu tư TCP giá trị tài sản trên đất và thuê đất,37.883.556.588,-,37883556588.0,
Phải thu của Sở Xây dựng tỉnh Gia Lai Các khoản chi hộ cho Công ty Cổ phần liên doanh Cổ phần Nhà Việt,b. Dải hạn > Phải thu của Sở Xây dựng tỉnh Gia Lai Các khoản chi hộ cho Công ty Cổ phần liên doanh Cổ phần Nhà Việt,Phải thu của Sở Xây dựng tỉnh Gia Lai Các khoản chi hộ cho Công ty Cổ phần liên doanh Cổ phần Nhà Việt,9.008.179.654,18.108.179.654,9008179654.0,18108179654.0
Khoản góp vốn theo hợp đồng hợp tác kinh doanh,b. Dải hạn > Khoản góp vốn theo hợp đồng hợp tác kinh doanh,Khoản góp vốn theo hợp đồng hợp tác kinh doanh,-,221.632.870.959,,221632870959.0
"Ứng tiền đền bù giải tỏa dự án, kinh phí giải phóng mặt bằng","b. Dải hạn > Ứng tiền đền bù giải tỏa dự án, kinh phí giải phóng mặt bằng","Ứng tiền đền bù giải tỏa dự án, kinh phí giải phóng mặt bằng",-,47.018.876.950,,47018876950.0
Ứng trước phí làm thủ tục cấp Giấy chứng nhận quyền sử dụng đất,b. Dải hạn > Ứng trước phí làm thủ tục cấp Giấy chứng nhận quyền sử dụng đất,Ứng trước phí làm thủ tục cấp Giấy chứng nhận quyền sử dụng đất,-,170.000.938.662,,170000938662.0
"Ký cược, ký quỹ","b. Dải hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",6.956.000.000,13.000.000.000,6956000000.0,13000000000.0
Các khoản phải thu dài hạn khác,b. Dải hạn > Các khoản phải thu dài hạn khác,Các khoản phải thu dài hạn khác,-,28.406.934.605,,28406934605.0
,,,352.941.856.676,241.480.000,352941856676.0,241480000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
c. Phải thu bên liên quan(Thuyết minh số 41),Trong đó: > c. Phải thu bên liên quan(Thuyết minh số 41),c. Phải thu bên liên quan(Thuyết minh số 41),1.500.000.000,34.049.824.884,1500000000.0,34049824884.0
