row_label_raw,row_label_full,col_0,Quỹ khen thưởngVND,Quỹ phúc lợiVND,Quỹ thưởngBan điều hànhVND,TổngVND,numeric__Quỹ khen thưởngVND,numeric__Quỹ phúc lợiVND,numeric__Quỹ thưởngBan điều hànhVND,numeric__TổngVND
Số đầu năm,Số đầu năm,Số đầu năm,540.417.489.600,139.596.648.419,2.540.472.135,682.554.610.154,540417489600.0,139596648419.0,2540472135.0,682554610154.0
Trích quỹ,Trích quỹ,Trích quỹ,2.227.810.220,-,-,2.227.810.220,2227810220.0,,,2227810220.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,(271.830.237.559),(127.691.899.549),(1.059.581.248),(400.581.718.356),-271830237559.0,-127691899549.0,-1059581248.0,-400581718356.0
Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ HàngKhông Sân bay Tân Sơn Nhất,Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ HàngKhông Sân bay Tân Sơn Nhất,Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ HàngKhông Sân bay Tân Sơn Nhất,(13.355.057.353),(11.611.805.310),(156.559.635),(25.123.422.298),-13355057353.0,-11611805310.0,-156559635.0,-25123422298.0
Số cuối năm,Số cuối năm,Số cuối năm,257.460.004.908,292.943.560,1.324.331.252,259.077.279.720,257460004908.0,292943560.0,1324331252.0,259077279720.0
