row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016,numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016
,,,VND,VND,,
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,84.296.328.371,147.647.275.290,84296328371.0,147647275290.0
"Chi phí vật liệu, bao bì bán hàng","Chi phí vật liệu, bao bì bán hàng","Chi phí vật liệu, bao bì bán hàng",886.199.532,2.452.842.583,886199532.0,2452842583.0
"Chi phí công cụ, đồ dùng văn phòng","Chi phí công cụ, đồ dùng văn phòng","Chi phí công cụ, đồ dùng văn phòng",2.216.472.139,9.837.720.820,2216472139.0,9837720820.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,683.577.261,7.246.368.981,683577261.0,7246368981.0
"Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền",135.838.347.827,184.588.520.615,135838347827.0,184588520615.0
"Chi phí bảo dưỡng, sửa chữa","Chi phí bảo dưỡng, sửa chữa","Chi phí bảo dưỡng, sửa chữa",1.525.107.524,-,1525107524.0,
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,17.622.508.976,88.363.393.928,17622508976.0,88363393928.0
"Chi phí nhượng quyền, khai thác","Chi phí nhượng quyền, khai thác","Chi phí nhượng quyền, khai thác",-,33.302.000.362,,33302000362.0
Chi phí khác,Chi phí khác,Chi phí khác,50.185.628.295,54.079.574.548,50185628295.0,54079574548.0
,,,293.254.169.925,527.517.697.127,293254169925.0,527517697127.0
