row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,10.675.051.669.878,10.719.217.656.068,44.165.986.190,1.0,10675051669878.0,10719217656068.0,44165986190.0
Giá vốn bán hàng và cung cấp dịch vụ,Giá vốn bán hàng và cung cấp dịch vụ,Giá vốn bán hàng và cung cấp dịch vụ,11,6.726.951.100.769,6.590.038.902.562,(136.912.198.207),11.0,6726951100769.0,6590038902562.0,-136912198207.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,-,,,,
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,1.130.365.830.359,1.142.348.966.984,11.983.136.625,21.0,1130365830359.0,1142348966984.0,11983136625.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,22,137.630.862.963,133.860.480.063,(3.770.382.900),22.0,137630862963.0,133860480063.0,-3770382900.0
Phần lãi hoặc lỗ trong công ty liên doanh,Lợi nhuận gộp > Phần lãi hoặc lỗ trong công ty liên doanh,Phần lãi hoặc lỗ trong công ty liên doanh,24,51.220.849.052,51.423.677.168,202.828.116,24.0,51220849052.0,51423677168.0,202828116.0
Chi phí quản lý doanh nghiệp,Lợi nhuận gộp > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,980.761.270.324,897.474.560.608,(83.286.709.716),26.0,980761270324.0,897474560608.0,-83286709716.0
Thu nhập khác,Lợi nhuận gộp > Thu nhập khác,Thu nhập khác,31,15.071.795.156,15.762.721.170,690.926.014,31.0,15071795156.0,15762721170.0,690926014.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,50,3.419.428.862.955,3.700.441.030.723,281.012.167.768,50.0,3419428862955.0,3700441030723.0,281012167768.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,631.018.421.107,669.435.276.934,38.416.855.827,51.0,631018421107.0,669435276934.0,38416855827.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,70.382.538.604,145.288.430.542,74.905.891.938,52.0,70382538604.0,145288430542.0,74905891938.0
Lợi nhuận sau thuế,Lợi nhuận gộp > Lợi nhuận sau thuế,Lợi nhuận sau thuế,60,2.718.027.903.244,2.885.717.323.247,167.689.420.003,60.0,2718027903244.0,2885717323247.0,167689420003.0
