row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền VND,Nhăn hiệu VND,Phần mềm VND,Khác VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền VND,numeric__Nhăn hiệu VND,numeric__Phần mềm VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm (Trình bày lại),NGUYÊN GIÁ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),30.944.738.761,2.661.339.000,100.555.555,13.810.583.044,170.000.000,47.687.216.360,30944738761.0,2661339000.0,100555555.0,13810583044.0,170000000.0,47687216360.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,343.237.800,30.011.000,373.248.800,,,,343237800.0,30011000.0,373248800.0
Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,NGUYÊN GIÁ > Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,(30.944.738.761),-,(100.555.555),(2.051.115.483),-,(33.096.409.799),-30944738761.0,,-100555555.0,-2051115483.0,,-33096409799.0
Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,,,,,,
Số cuối năm,Nhất > Số cuối năm,Số cuối năm,-,2.661.339.000,-,12.102.705.361,200.011.000,14.964.055.361,,2661339000.0,,12102705361.0,200011000.0,14964055361.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),5.117.879.064,1.782.767.714,100.555.555,10.739.068.932,170.000.000,17.910.271.265,5117879064.0,1782767714.0,100555555.0,10739068932.0,170000000.0,17910271265.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,-,817.611.422,-,1.863.487.427,-,2.681.098.849,,817611422.0,,1863487427.0,,2681098849.0
Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,Giảm do mất quyền kiểm soát tại Công ty Dịch vụ Hàng không Sân bay Tân Sơn,(5.117.879.064),-,(100.555.555),(1.786.774.673),-,(7.005.209.292),-5117879064.0,,-100555555.0,-1786774673.0,,-7005209292.0
Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,Nhất,,,,,,
Số cuối năm,Nhất > Số cuối năm,Số cuối năm,-,2.600.379.136,-,10.815.781.686,170.000.000,13.586.160.822,,2600379136.0,,10815781686.0,170000000.0,13586160822.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,25.826.859.697,878.571.286,-,3.071.514.112,-,29.776.945.095,25826859697.0,878571286.0,,3071514112.0,,29776945095.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,-,60.959.864,-,1.286.923.675,30.011.000,1.377.894.539,,60959864.0,,1286923675.0,30011000.0,1377894539.0
