row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,1.699.653.691.921,1.708.798.135.264,9.144.443.343,131.0,1699653691921.0,1708798135264.0,9144443343.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,918.588.403.555,907.474.123.574,(11.114.279.981),132.0,918588403555.0,907474123574.0,-11114279981.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,1.712.502.140.127,1.953.804.793.354,241.302.653.227,136.0,1712502140127.0,1953804793354.0,241302653227.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,117.847.359.072,30.769.513.320,(87.077.845.752),153.0,117847359072.0,30769513320.0,-87077845752.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,480.301.101.176,738.330.485.953,258.029.384.777,216.0,480301101176.0,738330485953.0,258029384777.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,21.673.876.099.121,21.391.662.012.735,(282.214.086.386),221.0,21673876099121.0,21391662012735.0,-282214086386.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,35.952.955.191.353,35.306.124.967.362,(646.830.223.991),222.0,35952955191353.0,35306124967362.0,-646830223991.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(14.279.079.092.232),(13.914.462.954.627),364.616.137.605,223.0,-14279079092232.0,-13914462954627.0,364616137605.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,29.650.278.225,29.776.945.095,126.666.870,227.0,29650278225.0,29776945095.0,126666870.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,47.687.216.360,47.687.216.360,-,228.0,47687216360.0,47687216360.0,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(18.036.938.135),(17.910.271.265),126.666.870,229.0,-18036938135.0,-17910271265.0,126666870.0
Chi phí xây dựng dở dang,Chi phí xây dựng dở dang,Chi phí xây dựng dở dang,242,738.376.356.617,738.370.016.000,(6.340.617),242.0,738376356617.0,738370016000.0,-6340617.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,957.485.920.465,931.107.182.564,(26.378.737.901),252.0,957485920465.0,931107182564.0,-26378737901.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,299.053.465.162,298.334.934.259,(718.530.903),253.0,299053465162.0,298334934259.0,-718530903.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,92.095.521.807,105.457.002.016,13.361.480.209,261.0,92095521807.0,105457002016.0,13361480209.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,252.490.605.693,272.718.455.086,20.227.849.393,262.0,252490605693.0,272718455086.0,20227849393.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,857.090.700.000,-,(857.090.700.000),269.0,857090700000.0,,-857090700000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.307.996.288.635,1.308.984.674.898,988.386.263,311.0,1307996288635.0,1308984674898.0,988386263.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,193.602.430.215,376.310.969.049,182.708.538.834,313.0,193602430215.0,376310969049.0,182708538834.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,1.128.932.612.583,1.134.698.482.583,5.765.870.000,314.0,1128932612583.0,1134698482583.0,5765870000.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,1.311.779.052.093,1.294.014.258.269,(17.764.793.824),315.0,1311779052093.0,1294014258269.0,-17764793824.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,3.327.275.989.144,3.123.530.526.143,(203.745.463.001),319.0,3327275989144.0,3123530526143.0,-203745463001.0
Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,416,-,(953.183.743.327),(953.183.743.327),416.0,,-953183743327.0,-953183743327.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,2.058.397.248.325,2.307.621.685.964,249.224.437.639,421.0,2058397248325.0,2307621685964.0,249224437639.0
- Lợi nhuận sau thuế chưa phân phối kỳ trước,- Lợi nhuận sau thuế chưa phân phối kỳ trước,- Lợi nhuận sau thuế chưa phân phối kỳ trước,421a,248.888.044.845,411.174.860.185,162.286.815.340,,248888044845.0,411174860185.0,162286815340.0
- Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,1.809.509.203.480,1.896.446.825.779,86.937.622.299,,1809509203480.0,1896446825779.0,86937622299.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,758.641.474.069,772.240.197.764,13.598.723.695,429.0,758641474069.0,772240197764.0,13598723695.0
