row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu dịch vụ phục vụ hàng khôngvà phi hàng không,Trong đó: > Doanh thu dịch vụ phục vụ hàng khôngvà phi hàng không,Doanh thu dịch vụ phục vụ hàng khôngvà phi hàng không,12.411.855.056.035,8.238.740.963.600,12411855056035.0,8238740963600.0
Doanh thu bán hàng,Trong đó: > Doanh thu bán hàng,Doanh thu bán hàng,1.404.403.177.442,1.849.888.789.535,1404403177442.0,1849888789535.0
Doanh thu hoạt động phòng khách,Trong đó: > Doanh thu hoạt động phòng khách,Doanh thu hoạt động phòng khách,-,304.323.821.866,,304323821866.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,57.153.762.224,326.264.081.067,57153762224.0,326264081067.0
,,,13.873.411.995.701,10.719.217.656.068,13873411995701.0,10719217656068.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,-,(40.662.155),,-40662155.0
Chiết khấu thương mại,Các khoản giảm trừ doanh thu > Chiết khấu thương mại,Chiết khấu thương mại,(43.196.975.646),(28.590.672.977),-43196975646.0,-28590672977.0
,,,(43.196.975.646),(28.631.335.132),-43196975646.0,-28631335132.0
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,13.830.215.020.055,10.690.586.320.936,13830215020055.0,10690586320936.0
