row_label_raw,row_label_full,col_0,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > GiảmVND,Trong năm > Đánh giá chênh lệch tỷ giá cuối năm,Trong năm > Giảm do mất quyền kiểm soát tai Công ty Dịch vụ Hàng không Sản bay Tân Sơn Nhất,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > GiảmVND,numeric__Trong năm > Đánh giá chênh lệch tỷ giá cuối năm,numeric__Trong năm > Giảm do mất quyền kiểm soát tai Công ty Dịch vụ Hàng không Sản bay Tân Sơn Nhất,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh TP. Hồ Chí Minh,59.079.991.285,59.079.991.285,-,-,-,59.079.991.285,-,-,59079991285.0,59079991285.0,,,,59079991285.0,,
Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Vay ngắn hạn > Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,59.645.766.355,59.645.766.355,-,-,-,59.645.766.355,-,-,59645766355.0,59645766355.0,,,,59645766355.0,,
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,,,,,,,
Ngân hàng hợp tác Quốc tế Nhật Bản (1),Vay dài hạn đến hạn trả > Ngân hàng hợp tác Quốc tế Nhật Bản (1),Ngân hàng hợp tác Quốc tế Nhật Bản (1),143.286.029.602,143.286.029.602,148.783.534.411,145.760.637.817,1.926.319.837,-,148.235.246.033,148.235.246.033,143286029602.0,143286029602.0,148783534411.0,145760637817.0,1926319837.0,,148235246033.0,148235246033.0
Nợ thuê tài chính đến hạn trả,Vay dài hạn đến hạn trả > Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,649.200.000,649.200.000,-,-,-,649.200.000,-,-,649200000.0,649200000.0,,,,649200000.0,,
,,,262.660.987.242,262.660.987.242,148.783.534.411,145.760.637.817,1.926.319.837,119.374.957.640,148.235.246.033,148.235.246.033,262660987242.0,262660987242.0,148783534411.0,145760637817.0,1926319837.0,119374957640.0,148235246033.0,148235246033.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNIX-2 Dự án xây dựng nhà ga hành khách Quốc tế sản bay Tân Sơn Nhất bằng nguồn vốn ODA (1),3.438.864.710.415,3.438.864.710.415,-,148.783.534.411,119.329.482.712,-,3.409.410.658.716,3.409.410.658.716,3438864710415.0,3438864710415.0,,148783534411.0,119329482712.0,,3409410658716.0,3409410658716.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VNXVII-6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (2),2.423.739.324.943,2.423.739.324.943,-,-,83.717.934.846,-,2.507.457.259.789,2.507.457.259.789,2423739324943.0,2423739324943.0,,,83717934846.0,,2507457259789.0,2507457259789.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN11-P6 Dự án xây dựng nhà ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (3),4.008.788.000.000,4.008.788.000.000,-,-,138.466.810.000,-,4.147.254.810.000,4.147.254.810.000,4008788000000.0,4008788000000.0,,,138466810000.0,,4147254810000.0,4147254810000.0
Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),Vay dài hạn > Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),Ngân hàng hợp tác Quốc tế Nhật Bản - Hiệp định vay vốn số VN13-P3 Dự án Xây dựng Nhà Ga T2 Cảng Hàng không Quốc tế Nội Bài bằng nguồn vốn ODA (4),4.090.219.436.941,4.090.219.436.941,31.402.837.049,-,141.807.420.434,-,4.263.429.694.424,4.263.429.694.424,4090219436941.0,4090219436941.0,31402837049.0,,141807420434.0,,4263429694424.0,4263429694424.0
Nợ thuê tài chính Công ty TNHH Một thành viên Cho thuê tài chính Ngân hàng Á Châu,Vay dài hạn > Nợ thuê tài chính Công ty TNHH Một thành viên Cho thuê tài chính Ngân hàng Á Châu,Nợ thuê tài chính Công ty TNHH Một thành viên Cho thuê tài chính Ngân hàng Á Châu,2.596.800.000,2.596.800.000,-,-,-,2.596.800.000,-,-,2596800000.0,2596800000.0,,,,2596800000.0,,
,,,13.964.208.272.299,13.964.208.272.299,31.402.837.049,148.783.534.411,483.321.647.992,2.596.800.000,14.327.552.422.929,14.327.552.422.929,13964208272299.0,13964208272299.0,31402837049.0,148783534411.0,483321647992.0,2596800000.0,14327552422929.0,14327552422929.0
