row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,A. TÀI SẢN NGÁN HẠN,100,,26.343.133.239.147,22.303.747.214.566,100.0,,26343133239147.0,22303747214566.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,1.313.665.194.187,3.165.744.917.074,110.0,5.0,1313665194187.0,3165744917074.0
1. Tiền,1. Tiền,1. Tiền,111,,913.665.194.187,2.793.482.028.185,111.0,,913665194187.0,2793482028185.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,400.000.000.000,372.262.888.889,112.0,,400000000000.0,372262888889.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,17.563.000.000.000,13.640.000.000.000,120.0,,17563000000000.0,13640000000000.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,-,28.644.000.000,121.0,,,28644000000.0
2. Dự phòng giảm giá chứng khoán,2. Dự phòng giảm giá chứng khoán,2. Dự phòng giảm giá chứng khoán,122,,-,(28.644.000.000),122.0,,,-28644000000.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,6,17.563.000.000.000,13.640.000.000.000,123.0,6.0,17563000000000.0,13640000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,6.957.603.601.735,4.487.737.276.046,130.0,,6957603601735.0,4487737276046.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,2.043.091.247.627,1.708.798.135.264,131.0,7.0,2043091247627.0,1708798135264.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,1.373.464.764.854,907.474.123.574,132.0,8.0,1373464764854.0,907474123574.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,3.571.079.755.284,1.953.804.793.354,136.0,9.0,3571079755284.0,1953804793354.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(30.032.166.030),(82.339.776.146),137.0,10.0,-30032166030.0,-82339776146.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,404.108.690.705,721.296.213.296,140.0,,404108690705.0,721296213296.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,11,404.108.690.705,721.296.213.296,141.0,11.0,404108690705.0,721296213296.0
