row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Chênh lệch đánh giá tài sản VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch đánh giá tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,21.771.732.360.000,14.602.790.587,-,3.963.396.520,380.362.991.893,819.657.138.113,22.990.318.677.113,21771732360000.0,14602790587.0,,3963396520.0,380362991893.0,819657138113.0,22990318677113.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.726.637.170.501,159.080.152.746,2.885.717.323.247,,,,,2726637170501.0,159080152746.0,2885717323247.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,450.312.439.969,(753.038.595.350),(13.663.846.611),(316.390.001.992),,,,450312439969.0,-753038595350.0,-13663846611.0,-316390001992.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(36.596.866.891),(36.596.866.891),,,,,,-36596866891.0,-36596866891.0
Nộp lợi nhuận được chia cho giai đoạn trước 31 tháng 3 năm 2016 về nhà nước,Nộp lợi nhuận được chia cho giai đoạn trước 31 tháng 3 năm 2016 về nhà nước,Nộp lợi nhuận được chia cho giai đoạn trước 31 tháng 3 năm 2016 về nhà nước,-,-,-,-,(12.941.241.557),-,(12.941.241.557),,,,,-12941241557.0,,-12941241557.0
Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,-,-,(953.183.743.327),-,-,-,(953.183.743.327),,,-953183743327.0,,,,-953183743327.0
"Điều chính trích Quỹ Khen thưởng, phúc lợi từ Lợi nhuận năm trước của công ty liên kết","Điều chính trích Quỹ Khen thưởng, phúc lợi từ Lợi nhuận năm trước của công ty liên kết","Điều chính trích Quỹ Khen thưởng, phúc lợi từ Lợi nhuận năm trước của công ty liên kết",-,-,-,-,(336.729.933),-,(336.729.933),,,,,-336729933.0,,-336729933.0
Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,-,-,-,(3.963.396.520),(33.061.909.590),(156.236.379.593),(193.261.685.703),,,,-3963396520.0,-33061909590.0,-156236379593.0,-193261685703.0
Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),Số dư cuối năm trước (Trình bày lại),21.771.732.360.000,14.602.790.587,(953.183.743.327),450.312.439.969,2.307.621.685.964,772.240.197.764,24.363.325.730.957,21771732360000.0,14602790587.0,-953183743327.0,450312439969.0,2307621685964.0,772240197764.0,24363325730957.0
Số dư đầu năm này,Số dư đầu năm này,Số dư đầu năm này,21.771.732.360.000,14.602.790.587,(953.183.743.327),450.312.439.969,2.307.621.685.964,772.240.197.764,24.363.325.730.957,21771732360000.0,14602790587.0,-953183743327.0,450312439969.0,2307621685964.0,772240197764.0,24363325730957.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,4.100.501.029.638,21.219.148.933,4.121.720.178.571,,,,,4100501029638.0,21219148933.0,4121720178571.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,251.996.690.491,(251.996.690.491),(891.124.088),(891.124.088),,,,251996690491.0,-251996690491.0,-891124088.0,-891124088.0
Trích lập quỹ khác,Trích lập quỹ khác,Trích lập quỹ khác,-,-,-,-,(1.336.686.132),-,(1.336.686.132),,,,,-1336686132.0,,-1336686132.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(1.306.303.941.600),(3.200.000.000),(1.309.503.941.600),,,,,-1306303941600.0,-3200000000.0,-1309503941600.0
Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Điều chính do thoái vốn dẫn đến mất quyền kiểm soát tại Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,-,-,952.323.000.000,(297.157.479),297.157.478,(742.002.652.035),210.320.347.964,,,952323000000.0,-297157479.0,297157478.0,-742002652035.0,210320347964.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,860.743.327,-,-,-,860.743.327,,,860743327.0,,,,860743327.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,21.771.732.360.000,14.602.790.587,-,702.011.972.981,4.848.782.554.857,47.365.570.574,27.384.495.248.999,21771732360000.0,14602790587.0,,702011972981.0,4848782554857.0,47365570574.0,27384495248999.0
