row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Phải trả các bên thứ ba,a. Phải trả các bên thứ ba,a. Phải trả các bên thứ ba,a. Phải trả các bên thứ ba,a. Phải trả các bên thứ ba,,
New Asia Wave International (S) Pte Ltd.,a. Phải trả các bên thứ ba > New Asia Wave International (S) Pte Ltd.,New Asia Wave International (S) Pte Ltd.,242.090.867.464,199.087.892.002,242090867464.0,199087892002.0
Công ty TNHH Quốc Tế Liên doanh,Công ty TNHH Quốc Tế Liên doanh,Công ty TNHH Quốc Tế Liên doanh,,,,
Vinaconex – Taisei,Công ty TNHH Quốc Tế Liên doanh > Vinaconex – Taisei,Vinaconex – Taisei,128.668.690.193,118.417.732.992,128668690193.0,118417732992.0
Công ty Cổ phần Xây dựng và Kinh DoanhĐịa Ốc Hòa Bình,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Xây dựng và Kinh DoanhĐịa Ốc Hòa Bình,Công ty Cổ phần Xây dựng và Kinh DoanhĐịa Ốc Hòa Bình,50.512.338.144,45.756.314.554,50512338144.0,45756314554.0
Công ty Cổ phần Dịch Vụ Và Kỹ Thuật CơĐiện Lạnh REE,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Dịch Vụ Và Kỹ Thuật CơĐiện Lạnh REE,Công ty Cổ phần Dịch Vụ Và Kỹ Thuật CơĐiện Lạnh REE,30.991.746.544,-,30991746544.0,
Công ty TNHH Liên Doanh Xây dựng VIC,Công ty TNHH Quốc Tế Liên doanh > Công ty TNHH Liên Doanh Xây dựng VIC,Công ty TNHH Liên Doanh Xây dựng VIC,28.287.532.447,5.625.601.195,28287532447.0,5625601195.0
Công ty TNHH Thương Mại Duy Anh,Công ty TNHH Quốc Tế Liên doanh > Công ty TNHH Thương Mại Duy Anh,Công ty TNHH Thương Mại Duy Anh,23.492.646.362,23.742.531.718,23492646362.0,23742531718.0
Công ty TNHH Xây dựng Thương Mại GiaĐoàn,Công ty TNHH Quốc Tế Liên doanh > Công ty TNHH Xây dựng Thương Mại GiaĐoàn,Công ty TNHH Xây dựng Thương Mại GiaĐoàn,18.742.157.068,298.419.345,18742157068.0,298419345.0
Công ty Cổ phần Tập Đoàn Quốc Tế Đông Á,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Tập Đoàn Quốc Tế Đông Á,Công ty Cổ phần Tập Đoàn Quốc Tế Đông Á,18.388.125.646,18.388.125.646,18388125646.0,18388125646.0
Công ty TNHH Autogrill VFS F&B,Công ty TNHH Quốc Tế Liên doanh > Công ty TNHH Autogrill VFS F&B,Công ty TNHH Autogrill VFS F&B,17.860.735.698,15.554.587.004,17860735698.0,15554587004.0
JRP International Pte Ltd.,Công ty TNHH Quốc Tế Liên doanh > JRP International Pte Ltd.,JRP International Pte Ltd.,15.977.948.316,14.659.466.205,15977948316.0,14659466205.0
Công ty Cổ phần Thăng Long,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Thăng Long,Công ty Cổ phần Thăng Long,13.425.924.001,-,13425924001.0,
Công ty Cổ phần Xuất nhập khẩu Hàng không,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Xuất nhập khẩu Hàng không,Công ty Cổ phần Xuất nhập khẩu Hàng không,13.120.988.958,15.997.661.900,13120988958.0,15997661900.0
Tổng Công ty Cổ phần Sông Hồng,Công ty TNHH Quốc Tế Liên doanh > Tổng Công ty Cổ phần Sông Hồng,Tổng Công ty Cổ phần Sông Hồng,12.214.193.422,12.214.193.422,12214193422.0,12214193422.0
Công ty Cổ phần Đầu Tư Xây Lắp Dầu KhíIMICO,Công ty TNHH Quốc Tế Liên doanh > Công ty Cổ phần Đầu Tư Xây Lắp Dầu KhíIMICO,Công ty Cổ phần Đầu Tư Xây Lắp Dầu KhíIMICO,11.414.429.689,12.285.082.848,11414429689.0,12285082848.0
"Ban điều hành dự án nhà ga T2 Nội Bài góithầu 6A, 9A","Công ty TNHH Quốc Tế Liên doanh > Ban điều hành dự án nhà ga T2 Nội Bài góithầu 6A, 9A","Ban điều hành dự án nhà ga T2 Nội Bài góithầu 6A, 9A",10.210.001.560,18.319.593.454,10210001560.0,18319593454.0
Phải trả các đối tượng khác,Công ty TNHH Quốc Tế Liên doanh > Phải trả các đối tượng khác,Phải trả các đối tượng khác,485.557.010.804,804.871.226.567,485557010804.0,804871226567.0
b. Phải trả bên liên quan(Thuyết minh 41),Công ty TNHH Quốc Tế Liên doanh > b. Phải trả bên liên quan(Thuyết minh 41),b. Phải trả bên liên quan(Thuyết minh 41),3.648.372.093,3.766.246.046,3648372093.0,3766246046.0
,,,1.124.603.708.409,1.308.984.674.898,1124603708409.0,1308984674898.0
