row_label_raw,row_label_full,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận_1,numeric__Các chi phí không phân bổ theo bộ phận_1
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,897.474.560.608,897474560608.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,1.142.348.966.984,1142348966984.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,133.860.480.063,133860480063.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,15.762.721.170,15762721170.0
Chi phí khác,Chi phí khác,Chi phí khác,50.789.015.175,50789015175.0
"Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết","Lãi trong công ty liên doanh, liên kết",51.423.677.168,51423677168.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,669.435.276.934,669435276934.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,145.288.430.542,145288430542.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,2.885.717.323.247,2885717323247.0
Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,46.614.305.497.137,46614305497137.0
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,22.250.979.766.180,22250979766180.0
