row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,506.389.446.161,501.025.622.465,506389446161.0,501025622465.0
"Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng",9.786.426.242,49.945.768.048,9786426242.0,49945768048.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,53.879.882.664,53.452.186.056,53879882664.0,53452186056.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",14.138.192.541,57.244.906.509,14138192541.0,57244906509.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,7.894.044.849,5.112.192.576,7894044849.0,5112192576.0
"Chi phí thuê xe, thuê tài sản","Chi phí thuê xe, thuê tài sản","Chi phí thuê xe, thuê tài sản",-,-,,
"Chi phí điện, nước, thông tin liên lạc","Chi phí thuê xe, thuê tài sản > Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",14.770.563.865,8.649.137.217,14770563865.0,8649137217.0
Chi phí dịch vụ mua ngoài khác,"Chi phí thuê xe, thuê tài sản > Chi phí dịch vụ mua ngoài khác",Chi phí dịch vụ mua ngoài khác,14.288.441.618,36.418.831.189,14288441618.0,36418831189.0
Chi phí phúc lợi cho người lao động,"Chi phí thuê xe, thuê tài sản > Chi phí phúc lợi cho người lao động",Chi phí phúc lợi cho người lao động,110.792.048.540,26.374.224.356,110792048540.0,26374224356.0
Công tác phí,"Chi phí thuê xe, thuê tài sản > Công tác phí",Công tác phí,21.414.866.966,15.801.297.312,21414866966.0,15801297312.0
Chi phí nhượng quyền khai thác,"Chi phí thuê xe, thuê tài sản > Chi phí nhượng quyền khai thác",Chi phí nhượng quyền khai thác,-,8.459.550.495,,8459550495.0
Chi phí bằng tiền khác,"Chi phí thuê xe, thuê tài sản > Chi phí bằng tiền khác",Chi phí bằng tiền khác,56.111.494.731,99.869.788.853,56111494731.0,99869788853.0
Trích lập dự phòng phải thu khó đòi,"Chi phí thuê xe, thuê tài sản > Trích lập dự phòng phải thu khó đòi",Trích lập dự phòng phải thu khó đòi,-,25.433.415.104,,25433415104.0
Hoàn nhập dự phòng nợ phải thu khó đòi,"Chi phí thuê xe, thuê tài sản > Hoàn nhập dự phòng nợ phải thu khó đòi",Hoàn nhập dự phòng nợ phải thu khó đòi,(843.819.479),-,-843819479.0,
Chi phí phân bổ lợi thế kinh doanh,"Chi phí thuê xe, thuê tài sản > Chi phí phân bổ lợi thế kinh doanh",Chi phí phân bổ lợi thế kinh doanh,-,9.687.640.428,,9687640428.0
,,,808.621.588.698,897.474.560.608,808621588698.0,897474560608.0
