row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Phải trả về Cổ phần hóa (i),a. Ngắn hạn > Phải trả về Cổ phần hóa (i),Phải trả về Cổ phần hóa (i),16.394.098.274,1.665.498.027.827,16394098274.0,1665498027827.0
Phải trả Nhà nước doanh thu thu hộ liên quan đến Tài sản khu bay (ii),a. Ngắn hạn > Phải trả Nhà nước doanh thu thu hộ liên quan đến Tài sản khu bay (ii),Phải trả Nhà nước doanh thu thu hộ liên quan đến Tài sản khu bay (ii),3.291.475.771.281,1.299.529.555.524,3291475771281.0,1299529555524.0
Phải trả thuế Thu nhập cá nhân cho người lao động,a. Ngắn hạn > Phải trả thuế Thu nhập cá nhân cho người lao động,Phải trả thuế Thu nhập cá nhân cho người lao động,80.773.478.067,45.879.837.058,80773478067.0,45879837058.0
Chi phí đầu tư tài sản Cảng hàng không Thọ Xuân,a. Ngắn hạn > Chi phí đầu tư tài sản Cảng hàng không Thọ Xuân,Chi phí đầu tư tài sản Cảng hàng không Thọ Xuân,75.132.858.000,65.788.245.000,75132858000.0,65788245000.0
"Ký quỹ, bảo lãnh ngắn hạn","a. Ngắn hạn > Ký quỹ, bảo lãnh ngắn hạn","Ký quỹ, bảo lãnh ngắn hạn",42.602.146.796,11.910.192.907,42602146796.0,11910192907.0
Phí nhượng quyền khai thác cảng hàng không,a. Ngắn hạn > Phí nhượng quyền khai thác cảng hàng không,Phí nhượng quyền khai thác cảng hàng không,17.141.950.000,19.109.740.000,17141950000.0,19109740000.0
Phải trả hợp đồng hợp tác kinh doanh,a. Ngắn hạn > Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,6.007.826.410,12.098.861.610,6007826410.0,12098861610.0
Kinh phí công đoàn,a. Ngắn hạn > Kinh phí công đoàn,Kinh phí công đoàn,1.818.949.021,1.090.316.326,1818949021.0,1090316326.0
"Các khoản phải trả, phải nộp khác","a. Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",7.383.616.048,2.625.749.891,7383616048.0,2625749891.0
,,,3.538.730.693.897,3.123.530.526.143,3538730693897.0,3123530526143.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",80.806.885.194,62.249.832.541,80806885194.0,62249832541.0
