row_label_raw,row_label_full,col_0,Mã số,Số đã trình bày VND,Số trình bày lại VND,Thay đổi VND,numeric__Mã số,numeric__Số đã trình bày VND,numeric__Số trình bày lại VND,numeric__Thay đổi VND
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,3.419.428.862.955,3.700.441.030.723,281.012.167.768,1.0,3419428862955.0,3700441030723.0,281012167768.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,02,3.440.648.260.534,3.293.756.660.119,(146.891.600.415),2.0,3440648260534.0,3293756660119.0,-146891600415.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,5.898.182.325.394,6.032.302.892.747,134.120.567.353,8.0,5898182325394.0,6032302892747.0,134120567353.0
Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(732.549.530.693),(905.981.262.945),(173.431.732.252),9.0,-732549530693.0,-905981262945.0,-173431732252.0
Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,2.438.453.722.750,2.457.133.614.890,18.679.892.140,11.0,2438453722750.0,2457133614890.0,18679892140.0
Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,119.387.179.556,98.780.870.152,(20.606.309.404),12.0,119387179556.0,98780870152.0,-20606309404.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,5.629.050.167.920,5.587.812.585.757,(41.237.582.163),20.0,5629050167920.0,5587812585757.0,-41237582163.0
"Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định","Tiền chi mua sắm, xây dựng tài sản cố định",21,(2.221.633.277.715),(2.207.492.964.356),14.140.313.359,21.0,-2221633277715.0,-2207492964356.0,14140313359.0
Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(56.940.000.000),(29.842.731.196),27.097.268.804,25.0,-56940000000.0,-29842731196.0,27097268804.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(2.597.161.555.672),(2.555.923.973.509),41.237.582.163,30.0,-2597161555672.0,-2555923973509.0,41237582163.0
