row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí công cụ dụng cụ,Ngắn hạn > Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,13.363.912.180,14.066.153.925,13363912180.0,14066153925.0
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,2.515.750.325,5.498.643.632,2515750325.0,5498643632.0
Chi phí khác,Ngắn hạn > Chi phí khác,Chi phí khác,1.989.302.013,6.047.614.269,1989302013.0,6047614269.0
,,,17.868.964.518,25.612.411.826,17868964518.0,25612411826.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Đà Nẵng,Dài hạn > Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Đà Nẵng,Đền bù giải phóng mặt bằng dự án mở rộng phía Bắc Cảng Hàng không Đà Nẵng,22.977.317.845,31.649.156.804,22977317845.0,31649156804.0
Tiền thuê sân đậu máy bay,Dài hạn > Tiền thuê sân đậu máy bay,Tiền thuê sân đậu máy bay,14.696.000.000,22.044.000.000,14696000000.0,22044000000.0
Chi phí công cụ dụng cụ,Dài hạn > Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,15.447.958.324,21.272.162.219,15447958324.0,21272162219.0
Tiền thuê đất và thuê đất,Dài hạn > Tiền thuê đất và thuê đất,Tiền thuê đất và thuê đất,2.247.530.000,10.188.622.012,2247530000.0,10188622012.0
Chi phí khác,Dài hạn > Chi phí khác,Chi phí khác,2.537.319.325,20.303.060.981,2537319325.0,20303060981.0
,,,57.906.125.494,105.457.002.016,57906125494.0,105457002016.0
