row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm (Trình bày lại),NGUYÊN GIÁ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),21.296.069.110.894,11.908.154.512.261,1.966.277.674.928,97.412.245.039,38.211.424.240,35.306.124.967.362,21296069110894.0,11908154512261.0,1966277674928.0,97412245039.0,38211424240.0,35306124967362.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,8.729.831.592,354.107.020.663,2.981.657.364,-,365.818.509.619,,8729831592.0,354107020663.0,2981657364.0,,365818509619.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.353.172.873.315,268.639.769.829,-,-,-,1.621.812.643.144,1353172873315.0,268639769829.0,,,,1621812643144.0
Điều chuyển từ Khu bay,NGUYÊN GIÁ > Điều chuyển từ Khu bay,Điều chuyển từ Khu bay,6.107.109.833,27.634.310.356,-,-,-,33.741.420.189,6107109833.0,27634310356.0,,,,33741420189.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,5.833.871.660,2.260.179.984,-,-,-,8.094.051.644,5833871660.0,2260179984.0,,,,8094051644.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(15.012.420.862),(9.983.341.314),(35.178.364.579),(133.665.048),-,(60.307.791.803),-15012420862.0,-9983341314.0,-35178364579.0,-133665048.0,,-60307791803.0
Giảm do điều chuyển cho Tổng Công ty quản lý bay Việt Nam,NGUYÊN GIÁ > Giảm do điều chuyển cho Tổng Công ty quản lý bay Việt Nam,Giảm do điều chuyển cho Tổng Công ty quản lý bay Việt Nam,-,(345.126.250),-,(758.470.807),-,(1.103.597.057),,-345126250.0,,-758470807.0,,-1103597057.0
Điều chuyển sang Khu bay,NGUYÊN GIÁ > Điều chuyển sang Khu bay,Điều chuyển sang Khu bay,(3.139.384.484),(629.065.638),-,-,-,(3.768.450.122),-3139384484.0,-629065638.0,,,,-3768450122.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(1.714.037.177),-,-,-,-,(1.714.037.177),-1714037177.0,,,,,-1714037177.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(1.324.573.188),1.125.308.688,(72.100.500),271.365.000,-,-,-1324573188.0,1125308688.0,-72100500.0,271365000.0,,
Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,NGUYÊN GIÁ > Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,(137.406.368.807),(29.876.606.916),(288.140.668.552),(6.236.795.308),(38.211.424.240),(499.871.863.823),-137406368807.0,-29876606916.0,-288140668552.0,-6236795308.0,-38211424240.0,-499871863823.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,22.502.586.181.184,12.175.709.772.592,1.996.993.561.960,93.536.336.240,-,36.768.825.851.976,22502586181184.0,12175709772592.0,1996993561960.0,93536336240.0,,36768825851976.0
