row_label_raw,row_label_full,Bà Huỳnh Thị Diệu,Trưởng ban,numeric__Trưởng ban
Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Bà Lê Thị Hương Giang,Thành viên,
Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Bà Hoàng Thị Thành,Thành viên,
