row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Từ 01/4/2016 đến 31/12/2016 (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Từ 01/4/2016 đến 31/12/2016 (Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,13.873.411.995.701,10.719.217.656.068,1.0,,13873411995701.0,10719217656068.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,43.196.975.646,28.631.335.132,2.0,,43196975646.0,28631335132.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,13.830.215.020.055,10.690.586.320.936,10.0,27.0,13830215020055.0,10690586320936.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,28,8.182.344.566.381,6.590.038.902.562,11.0,28.0,8182344566381.0,6590038902562.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,5.647.870.453.674,4.100.547.418.374,20.0,,5647870453674.0,4100547418374.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,1.121.661.214.511,1.142.348.966.984,21.0,30.0,1121661214511.0,1142348966984.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,31,606.234.236.094,133.860.480.063,22.0,31.0,606234236094.0,133860480063.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,96.165.565.685,76.487.464.126,23.0,,96165565685.0,76487464126.0
"8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết","8. Phần lãi trong công ty liên doanh, liên kết",24,16,256.923.198.656,51.423.677.168,24.0,16.0,256923198656.0,51423677168.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,32,293.254.169.925,527.517.697.127,25.0,32.0,293254169925.0,527517697127.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,33,808.621.588.698,897.474.560.608,26.0,33.0,808621588698.0,897474560608.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,5.318.344.872.124,3.735.467.324.728,30.0,,5318344872124.0,3735467324728.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,34,27.520.800.657,15.762.721.170,31.0,34.0,27520800657.0,15762721170.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,35,2.391.829.786,50.789.015.175,32.0,35.0,2391829786.0,50789015175.0
14. Lợi nhuận/(Lỗ) khác (40=31-32),14. Lợi nhuận/(Lỗ) khác (40=31-32),14. Lợi nhuận/(Lỗ) khác (40=31-32),40,,25.128.970.871,(35.026.294.005),40.0,,25128970871.0,-35026294005.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,5.343.473.842.995,3.700.441.030.723,50.0,,5343473842995.0,3700441030723.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,1.051.976.137.429,669.435.276.934,51.0,36.0,1051976137429.0,669435276934.0
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,37,169.777.526.995,145.288.430.542,52.0,37.0,169777526995.0,145288430542.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,4.121.720.178.571,2.885.717.323.247,60.0,,4121720178571.0,2885717323247.0
Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,Phân bổ cho:- Cổ đông của Công ty mẹ,61,,4.100.501.029.638,2.726.637.170.501,61.0,,4100501029638.0,2726637170501.0
- Lợi ích của cổ đông không kiểm soát,- Lợi ích của cổ đông không kiểm soát,- Lợi ích của cổ đông không kiểm soát,62,25,21.219.148.933,159.080.152.746,62.0,25.0,21219148933.0,159080152746.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,38,1.883,1.115,70.0,38.0,1883.0,1115.0
