row_label_raw,row_label_full,Trong vòng một năm > Trong năm thứ hai > Từ năm thứ ba đến năm thứ năm > Sau năm năm,Số đầu nămVND > 148.235.246.033 > 833.013.735.189 > 13.346.303.441.707,Số cuối nămVND > 143.935.229.602 > 431.805.688.806 > 13.388.467.353.891,numeric__Số đầu nămVND > 148.235.246.033 > 833.013.735.189 > 13.346.303.441.707,numeric__Số cuối nămVND > 143.935.229.602 > 431.805.688.806 > 13.388.467.353.891
,,,14.475.787.668.962,14.108.143.501.901,14475787668962.0,14108143501901.0
Trừ: số phải trả trong vòng 12 tháng(trình bày ở phần nợ ngắn hạn),Trừ: số phải trả trong vòng 12 tháng(trình bày ở phần nợ ngắn hạn),Trừ: số phải trả trong vòng 12 tháng(trình bày ở phần nợ ngắn hạn),148.235.246.033,143.935.229.602,148235246033.0,143935229602.0
Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,Số phải trả sau 12 tháng,14.327.552.422.929,13.964.208.272.299,14327552422929.0,13964208272299.0
