row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Thuế suất %,Số cuối năm > Thuế hoãn lại VND,Số đầu năm (Trình bày lại) > Giá trị VND,Số đầu năm (Trình bày lại) > Thuế suất %,Số đầu năm (Trình bày lại) > Thuế hoãn lại VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Thuế suất %,numeric__Số cuối năm > Thuế hoãn lại VND,numeric__Số đầu năm (Trình bày lại) > Giá trị VND,numeric__Số đầu năm (Trình bày lại) > Thuế suất %,numeric__Số đầu năm (Trình bày lại) > Thuế hoãn lại VND
Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,,,,,
Chi phí thuê đất trích trước cuối năm,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Chi phí thuê đất trích trước cuối năm,Chi phí thuê đất trích trước cuối năm,77.437.404.047,20%,15.487.480.809,63.346.974.235,20%,12.669.394.847,77437404047.0,0.2,15487480809.0,63346974235.0,0.2,12669394847.0
Khẩu hao tài sản cố định tạm tăng,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Khẩu hao tài sản cố định tạm tăng,Khẩu hao tài sản cố định tạm tăng,323.281.508.597,20%,64.656.301.719,235.527.077.189,20%,47.105.415.437,323281508597.0,0.2,64656301719.0,235527077189.0,0.2,47105415437.0
Hoàn nhập chênh lệch đánh giá lại khoản đầu tư vào công ty con tại thời điểm Công ty mẹ chính thức thành Công ty cổ phần,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Hoàn nhập chênh lệch đánh giá lại khoản đầu tư vào công ty con tại thời điểm Công ty mẹ chính thức thành Công ty cổ phần,Hoàn nhập chênh lệch đánh giá lại khoản đầu tư vào công ty con tại thời điểm Công ty mẹ chính thức thành Công ty cổ phần,-,20%,-,952.323.000.000,20%,190.464.600.000,,0.2,,952323000000.0,0.2,190464600000.0
"Chi phí sửa chữa lớn tài sản cố định chưa đủ hóa đơn, chứng từ","Tài sản thuế thu nhập doanh nghiệp hoãn lại > Chi phí sửa chữa lớn tài sản cố định chưa đủ hóa đơn, chứng từ","Chi phí sửa chữa lớn tài sản cố định chưa đủ hóa đơn, chứng từ",16.000.000.000,20%,3.200.000.000,60.709.950.986,20%,12.141.990.197,16000000000.0,0.2,3200000000.0,60709950986.0,0.2,12141990197.0
Trích lập dự phòng khoản đầu tư tài chính,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Trích lập dự phòng khoản đầu tư tài chính,Trích lập dự phòng khoản đầu tư tài chính,1.300.000.000,20%,260.000.000,1.300.000.000,20%,260.000.000,1300000000.0,0.2,260000000.0,1300000000.0,0.2,260000000.0
Dự phòng đầu tư giảm giá chứng khoán ngắn hạn,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Dự phòng đầu tư giảm giá chứng khoán ngắn hạn,Dự phòng đầu tư giảm giá chứng khoán ngắn hạn,-,20%,-,28.644.000.000,20%,5.728.800.000,,0.2,,28644000000.0,0.2,5728800000.0
Dự phòng phải thu vượt tỷ lệ theo Thông tư 228/2009/TT-BTC ngày 07 tháng 12 năm 2009,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Dự phòng phải thu vượt tỷ lệ theo Thông tư 228/2009/TT-BTC ngày 07 tháng 12 năm 2009,Dự phòng phải thu vượt tỷ lệ theo Thông tư 228/2009/TT-BTC ngày 07 tháng 12 năm 2009,2.889.555.412,20%,577.911.082,7.253.379.127,20%,1.450.675.825,2889555412.0,0.2,577911082.0,7253379127.0,0.2,1450675825.0
"Chi phí chưa đủ hóa đơn, chứng từ","Tài sản thuế thu nhập doanh nghiệp hoãn lại > Chi phí chưa đủ hóa đơn, chứng từ","Chi phí chưa đủ hóa đơn, chứng từ",73.741.500.070,20%,14.748.300.014,24.376.919.330,20%,4.875.383.866,73741500070.0,0.2,14748300014.0,24376919330.0,0.2,4875383866.0
Chi phí khấu hao Bất động sản đầu tư nằm giữ chờ tăng giá,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Chi phí khấu hao Bất động sản đầu tư nằm giữ chờ tăng giá,Chi phí khấu hao Bất động sản đầu tư nằm giữ chờ tăng giá,-,20%,-,4.520.308.115,20%,904.061.623,,0.2,,4520308115.0,0.2,904061623.0
Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ cuối năm,Tài sản thuế thu nhập doanh nghiệp hoãn lại > Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ cuối năm,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền và phải thu có gốc ngoại tệ cuối năm,2.105.615.396,20%,421.123.079,-,,-,2105615396.0,0.2,421123079.0,,,
Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,Bù trừ với thuế thu nhập hoãn lại phải trả,,,,,,
Doanh thu quý 4 năm 2017 giảm do điều chỉnh giá,Bù trừ với thuế thu nhập hoãn lại phải trả > Doanh thu quý 4 năm 2017 giảm do điều chỉnh giá,Doanh thu quý 4 năm 2017 giảm do điều chỉnh giá,(52.000.000.000),20%,(10.400.000.000),-,,-,-52000000000.0,0.2,-10400000000.0,,,
