row_label_raw,row_label_full,Số đầu năm,Số cuối nămVND > 931.107.182.564,Số đầu năm(Trình bày lại)VND > 435.686.176.162,numeric__Số cuối nămVND > 931.107.182.564,numeric__Số đầu năm(Trình bày lại)VND > 435.686.176.162
"Lãi từ các công ty liên doanh, liên kết","Lãi từ các công ty liên doanh, liên kết","Lãi từ các công ty liên doanh, liên kết",256.923.198.656,51.423.677.168,256923198656.0,51423677168.0
Thanh lý các khoản đầu tư trong năm,Thanh lý các khoản đầu tư trong năm,Thanh lý các khoản đầu tư trong năm,(176.473.200.771),(115.550.000.000),-176473200771.0,-115550000000.0
Lợi nhuận chuyển từ Công ty con sang,Lợi nhuận chuyển từ Công ty con sang,Lợi nhuận chuyển từ Công ty con sang,754.268.410.160,194.046.517.441,754268410160.0,194046517441.0
Công ty liên kết do thoái vốn,Công ty liên kết do thoái vốn,Công ty liên kết do thoái vốn,,,,
Chênh lệch do đánh giá lại tài sản,Công ty liên kết do thoái vốn > Chênh lệch do đánh giá lại tài sản,Chênh lệch do đánh giá lại tài sản,930.159.640.000,418.287.072.661,930159640000.0,418287072661.0
Cổ tức được chia trong năm,Công ty liên kết do thoái vốn > Cổ tức được chia trong năm,Cổ tức được chia trong năm,(184.423.698.022),(52.786.260.868),-184423698022.0,-52786260868.0
,,,2.511.561.532.587,931.107.182.564,2511561532587.0,931107182564.0
