row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,5.343.473.842.995,3.700.441.030.723,5343473842995.0,3700441030723.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Các khoản điều chỉnh tăng,Điều chỉnh cho thu nhập chịu thuế > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,540.339.110.394,380.377.038.050,540339110394.0,380377038050.0
Các khoản điều chỉnh giảm,Điều chỉnh cho thu nhập chịu thuế > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(583.335.433.963),(612.569.056.384),-583335433963.0,-612569056384.0
+ Các khoản điều chỉnh giảm khác,Điều chỉnh cho thu nhập chịu thuế > + Các khoản điều chỉnh giảm khác,+ Các khoản điều chỉnh giảm khác,-,(27.181.306.225),,-27181306225.0
- Loại trừ khoản dự phòng đầu tưvào Công ty Cổ phần Thương mạiXăng dầu Hàng không,Điều chỉnh cho thu nhập chịu thuế > - Loại trừ khoản dự phòng đầu tưvào Công ty Cổ phần Thương mạiXăng dầu Hàng không,- Loại trừ khoản dự phòng đầu tưvào Công ty Cổ phần Thương mạiXăng dầu Hàng không,-,(9.262.931.164),,-9262931164.0
- Điều chỉnh lãi thoái vốn Công tyCổ phần Phục vụ Mặt đất Sài Gòn,Điều chỉnh cho thu nhập chịu thuế > - Điều chỉnh lãi thoái vốn Công tyCổ phần Phục vụ Mặt đất Sài Gòn,- Điều chỉnh lãi thoái vốn Công tyCổ phần Phục vụ Mặt đất Sài Gòn,-,(17.918.375.061),,-17918375061.0
+ Thu nhập không chịu thuế,Điều chỉnh cho thu nhập chịu thuế > + Thu nhập không chịu thuế,+ Thu nhập không chịu thuế,(40.763.660.278),(92.101.963.247),-40763660278.0,-92101963247.0
Thu nhập tính thuế năm/kỳ hiện hành,Điều chỉnh cho thu nhập chịu thuế > Thu nhập tính thuế năm/kỳ hiện hành,Thu nhập tính thuế năm/kỳ hiện hành,5.259.713.859.148,3.348.965.742.917,5259713859148.0,3348965742917.0
Thuế suất thông thường,Điều chỉnh cho thu nhập chịu thuế > Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp phải nộp,Điều chỉnh cho thu nhập chịu thuế > Thuế thu nhập doanh nghiệp phải nộp,Thuế thu nhập doanh nghiệp phải nộp,1.051.942.771.830,669.793.148.583,1051942771830.0,669793148583.0
Điều chỉnh chi phí thuế thu nhập doanhnghiệp,Điều chỉnh cho thu nhập chịu thuế > Điều chỉnh chi phí thuế thu nhập doanhnghiệp,Điều chỉnh chi phí thuế thu nhập doanhnghiệp,33.365.599,(357.871.649),33365599.0,-357871649.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,1.051.976.137.429,669.435.276.934,1051976137429.0,669435276934.0
