row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn (i),Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn (i),Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn (i),75.000.000.000,83.489.232.759,75000000000.0,83489232759.0
Công ty Cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty Cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,Công ty Cổ phần Đầu tư Khai thác Nhà ga Quốc tế Đà Nẵng,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
Công ty Cổ phần Đầu Tư TCP,Công ty Cổ phần Đầu Tư TCP,Công ty Cổ phần Đầu Tư TCP,19.800.000.000,19.800.000.000,19800000000.0,19800000000.0
Công ty Cổ Phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ Phần Nhà ga Quốc tế Cam Ranh,Công ty Cổ Phần Nhà ga Quốc tế Cam Ranh,60.000.000.000,60.000.000.000,60000000000.0,60000000000.0
Công ty Cổ phần Địa ốc Thảo Điền,Công ty Cổ phần Địa ốc Thảo Điền,Công ty Cổ phần Địa ốc Thảo Điền,-,44.732.290.000,,44732290000.0
Công ty TNHH Dịch vụ Hàng hóa Tân Sơn Nhất,Công ty TNHH Dịch vụ Hàng hóa Tân Sơn Nhất,Công ty TNHH Dịch vụ Hàng hóa Tân Sơn Nhất,-,15.464.785.500,,15464785500.0
Công ty Cổ phần Suất ăn Hàng không Nội Bài,Công ty Cổ phần Suất ăn Hàng không Nội Bài,Công ty Cổ phần Suất ăn Hàng không Nội Bài,-,11.810.450.000,,11810450000.0
Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần du lịch Thành Thành Công Lâm Đồng,-,11.542.176.000,,11542176000.0
Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,-,8.696.000.000,,8696000000.0
Công ty Cổ phần Xây dựng Công nghiệp,Công ty Cổ phần Xây dựng Công nghiệp,Công ty Cổ phần Xây dựng Công nghiệp,-,4.930.000.000,,4930000000.0
Công ty Cổ phần Đầu tư Phát triển hạ tầng Phú Quốc,Công ty Cổ phần Đầu tư Phát triển hạ tầng Phú Quốc,Công ty Cổ phần Đầu tư Phát triển hạ tầng Phú Quốc,-,2.800.000.000,,2800000000.0
Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn,-,-,,
Công ty Cổ phần Thương mại Sabeco Trung tâm,Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn > Công ty Cổ phần Thương mại Sabeco Trung tâm,Công ty Cổ phần Thương mại Sabeco Trung tâm,-,70.000.000,,70000000.0
Công ty Cổ phần Dịch Vụ Hàng Không Việt Xuân Mới (ii),Công ty Cổ phần Dịch vụ Tổng hợp Sài Gòn > Công ty Cổ phần Dịch Vụ Hàng Không Việt Xuân Mới (ii),Công ty Cổ phần Dịch Vụ Hàng Không Việt Xuân Mới (ii),-,5.000.000.000,,5000000000.0
,,,184.800.000.000,298.334.934.259,184800000000.0,298334934259.0
