row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm (Trình bày lại),GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),6.709.480.621.985,5.987.299.954.253,1.107.427.782.253,77.372.553.953,32.882.042.183,13.914.462.954.627,6709480621985.0,5987299954253.0,1107427782253.0,77372553953.0,32882042183.0,13914462954627.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,2.003.217.699.843,1.889.489.243.043,277.048.842.571,15.128.609.272,-,4.184.884.394.729,2003217699843.0,1889489243043.0,277048842571.0,15128609272.0,,4184884394729.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.934.343.381),(8.982.616.570),(32.192.306.142),(122.973.289),-,(51.232.239.382),-9934343381.0,-8982616570.0,-32192306142.0,-122973289.0,,-51232239382.0
Điều chuyển từ Khu bay,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chuyển từ Khu bay,Điều chuyển từ Khu bay,6.107.109.833,27.631.888.525,-,-,-,33.738.998.358,6107109833.0,27631888525.0,,,,33738998358.0
Giảm do điều chuyển cho Tổng Công ty Quản lý bay Việt Nam,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do điều chuyển cho Tổng Công ty Quản lý bay Việt Nam,Giảm do điều chuyển cho Tổng Công ty Quản lý bay Việt Nam,-,(326.105.230),-,(584.514.564),-,(910.619.794),,-326105230.0,,-584514564.0,,-910619794.0
Điều chuyển sang Khu bay,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chuyển sang Khu bay,Điều chuyển sang Khu bay,(1.070.626.563),(413.031.255),-,-,-,(1.483.657.818),-1070626563.0,-413031255.0,,,,-1483657818.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,(94.552.814),(235.985.282),(2.227.750),-,(332.765.846),,-94552814.0,-235985282.0,-2227750.0,,-332765846.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(191.279.807),193.538.109,(2.258.302),-,-,-,-191279807.0,193538109.0,-2258302.0,,,
Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,Giảm do mất quyền kiểm soát tại Công ty Dịch Vụ Hàng Không Sân bay Tân Sơn Nhất,(44.890.146.428),(22.894.679.123),(193.287.134.814),(4.200.672.549),(32.882.042.183),(298.154.675.097),-44890146428.0,-22894679123.0,-193287134814.0,-4200672549.0,-32882042183.0,-298154675097.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,8.662.719.035.482,7.871.903.638.938,1.158.758.940.284,87.590.775.073,-,17.780.972.389.777,8662719035482.0,7871903638938.0,1158758940284.0,87590775073.0,,17780972389777.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,14.586.588.488.909,5.920.854.558.008,858.849.892.675,20.039.691.086,5.329.382.057,21.391.662.012.735,14586588488909.0,5920854558008.0,858849892675.0,20039691086.0,5329382057.0,21391662012735.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,13.839.867.145.702,4.303.806.133.654,838.234.621.676,5.945.561.167,-,18.987.853.462.199,13839867145702.0,4303806133654.0,838234621676.0,5945561167.0,,18987853462199.0
