row_label_raw,row_label_full,col_0,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
,,,VND,VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,2.302.686.057.422,1.776.418.795.882,2302686057422.0,1776418795882.0
"Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng","Chi phí vật liệu, đồ dùng văn phòng",94.663.111.146,165.774.016.149,94663111146.0,165774016149.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,4.163.614.362.445,3.330.133.039.872,4163614362445.0,3330133039872.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",75.724.219.303,51.122.451.399,75724219303.0,51122451399.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,335.031.118.849,166.160.353.376,335031118849.0,166160353376.0
"Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền","Chi phí điều hành, thương quyền",135.838.347.827,80.790.374.339,135838347827.0,80790374339.0
"Chi phí bảo hiểm hàng không,phi hàng không","Chi phí bảo hiểm hàng không,phi hàng không","Chi phí bảo hiểm hàng không,phi hàng không",23.637.859.682,15.744.164.955,23637859682.0,15744164955.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",374.655.421.733,297.408.256.013,374655421733.0,297408256013.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,248.537.343.890,480.518.554.754,248537343890.0,480518554754.0
"Chi hoa hồng, môi giới","Chi hoa hồng, môi giới","Chi hoa hồng, môi giới",119.224.240.756,76.318.703.835,119224240756.0,76318703835.0
Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,Chi phí phúc lợi cho người lao động,110.792.048.540,26.374.224.356,110792048540.0,26374224356.0
Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,Phí nhượng quyền khai thác,174.417.617.139,150.066.348.430,174417617139.0,150066348430.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,184.140.431.096,132.019.476.618,184140431096.0,132019476618.0
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,2.156.180.521,38.764.157.093,2156180521.0,38764157093.0
,,,8.345.118.360.349,6.787.612.917.071,8345118360349.0,6787612917071.0
