row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Từ 01/4/2016đến 31/12/2016(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Từ 01/4/2016đến 31/12/2016(Trình bày lại)
Thay đổi hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,33.447.467.018,(108.835.662.534),10.0,33447467018.0,-108835662534.0
Thay đổi các khoản phải trả,2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,2.116.471.318.158,2.457.133.614.890,11.0,2116471318158.0,2457133614890.0
Thay đổi chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,10.695.751.329,98.780.870.152,12.0,10695751329.0,98780870152.0
Thay đổi chứng khoán kinh doanh,2. Điều chỉnh cho các khoản: > Thay đổi chứng khoán kinh doanh,Thay đổi chứng khoán kinh doanh,13,-,207.577.500,13.0,,207577500.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(95.436.519.788),(58.527.742.129),14.0,-95436519788.0,-58527742129.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(1.316.845.471.820),(1.351.626.804.438),15.0,-1316845471820.0,-1351626804438.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,2.227.810.220,676.948.516,16.0,2227810220.0,676948516.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(2.049.685.647.909),(576.317.846.002),17.0,-2049685647909.0,-576317846002.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,4.393.438.305.983,5.587.812.585.757,20.0,4393438305983.0,5587812585757.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định","1. Tiền chi mua sắm, xây dựng tài sản cố định",21,(1.370.121.056.605),(2.207.492.964.356),21.0,-1370121056605.0,-2207492964356.0
"2. Tiền thu thanh lý, nhượng bán tài sản cố định","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 2. Tiền thu thanh lý, nhượng bán tài sản cố định","2. Tiền thu thanh lý, nhượng bán tài sản cố định",22,21.540.170.005,3.353.243.206,22.0,21540170005.0,3353243206.0
3. Tiền mua công cụ nợ của đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 3. Tiền mua công cụ nợ của đơn vị khác,3. Tiền mua công cụ nợ của đơn vị khác,23,(12.720.500.000.000),(5.316.184.560.606),23.0,-12720500000000.0,-5316184560606.0
4. Tiền thu hồi bán lại các công cụ nợ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 4. Tiền thu hồi bán lại các công cụ nợ,4. Tiền thu hồi bán lại các công cụ nợ,24,8.725.500.000.000,4.013.584.560.606,24.0,8725500000000.0,4013584560606.0
5. Tiền chi đầu tư vào đơn vị khác,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 5. Tiền chi đầu tư vào đơn vị khác,5. Tiền chi đầu tư vào đơn vị khác,25,-,(29.842.731.196),25.0,,-29842731196.0
6. Dòng tiền thuần khi thoái vốn,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 6. Dòng tiền thuần khi thoái vốn,6. Dòng tiền thuần khi thoái vốn,26,(444.462.025.351),187.510.407.514,26.0,-444462025351.0,187510407514.0
"7. Thu lãi tiền gửi, cổ tức và lợi nhuận được chia","II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > 7. Thu lãi tiền gửi, cổ tức và lợi nhuận được chia","7. Thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,963.162.118.546,793.148.071.323,27.0,963162118546.0,793148071323.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐÀU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(4.824.880.793.405),(2.555.923.973.509),30.0,-4824880793405.0,-2555923973509.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,31.402.837.049,419.838.561.006,33.0,31402837049.0,419838561006.0
2. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(145.760.637.817),(503.137.400.112),34.0,-145760637817.0,-503137400112.0
3. Tiền trả nợ gốc thuê tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc thuê tài chính,3. Tiền trả nợ gốc thuê tài chính,35,-,(1.176.000.000),35.0,,-1176000000.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.306.211.897.430),(2.732.612.778.871),36.0,-1306211897430.0,-2732612778871.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.420.569.698.198),(2.817.087.617.977),40.0,-1420569698198.0,-2817087617977.0
Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),Lưu chuyển tiền thuần trong năm/kỳ (50=20+30+40),50,(1.852.012.185.619),214.800.994.271,50.0,-1852012185619.0,214800994271.0
Tiền và tương đương tiền đầu năm/kỳ,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm/kỳ,Tiền và tương đương tiền đầu năm/kỳ,60,3.165.744.917.074,2.934.592.244.544,60.0,3165744917074.0,2934592244544.0
Ánh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ánh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ánh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(67.537.268),16.351.678.259,61.0,-67537268.0,16351678259.0
Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),Tiền và tương đương tiền cuối năm/kỳ (70=50+60+61),70,1.313.665.194.187,3.165.744.917.074,70.0,1313665194187.0,3165744917074.0
