row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,199.229.648.985,390.271.094.000,,300.0,,199229648985.0,390271094000.0
I.,I.,I.,Nợ ngắn hạn,310,,187.079.563.127,377.995.533.697,,310.0,,187079563127.0,377995533697.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,35.805.244.731,30.150.192.904,,311.0,18.0,35805244731.0,30150192904.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,4.131.690.886,20.928.492.164,,312.0,19.0,4131690886.0,20928492164.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,16,14.881.694.193,180.645.103.772,,313.0,16.0,14881694193.0,180645103772.0
4.,4.,4.,Phải trả người lao động,314,,43.577.112.926,22.338.287.159,,314.0,,43577112926.0,22338287159.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,6.243.999.354,10.460.977.132,,315.0,20.0,6243999354.0,10460977132.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,21,7.949.591.463,7.566.718.215,,318.0,21.0,7949591463.0,7566718215.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,43.385.290.217,82.842.636.279,,319.0,22.0,43385290217.0,82842636279.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,823.343.896,15.153.610.798,,320.0,23.0,823343896.0,15153610798.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,30.281.595.461,7.909.515.274,,322.0,,30281595461.0,7909515274.0
II.,II.,II.,Nợ dài hạn,330,,12.150.085.858,12.275.560.303,,330.0,,12150085858.0,12275560303.0
1.,1.,1.,Phải trả dài hạn khác,337,22,12.150.085.858,11.452.216.405,,337.0,22.0,12150085858.0,11452216405.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,24,,823.343.898,,338.0,24.0,,823343898.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,4.347.762.739.285,3.890.494.204.645,,400.0,,4347762739285.0,3890494204645.0
I.,I.,I.,Vốn chủ sở hữu,410,25,4.347.050.335.892,3.889.781.801.252,,410.0,25.0,4347050335892.0,3889781801252.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.500.000.000.000,3.500.000.000.000,,411.0,,3500000000000.0,3500000000000.0
1.,1.,1.,- Cổ phiếu phố thông có quyền biểu quyết,411a,,3.500.000.000.000,3.500.000.000.000,,,,3500000000000.0,3500000000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,30.293.139.240,,,418.0,,30293139240.0,
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,816.757.196.652,389.781.801.252,,421.0,,816757196652.0,389781801252.0
3.,3.,3.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,,18.978.487.829,,,,,18978487829.0
3.,3.,3.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,816.757.196.652,370.803.313.423,,,,816757196652.0,370803313423.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,712.403.393,712.403.393,,430.0,,712403393.0,712403393.0
1.,1.,1.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,712.403.393,712.403.393,,432.0,,712403393.0,712403393.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,4.546.992.388.270,4.280.765.298.645,,440.0,,4546992388270.0,4280765298645.0
