row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.500.000.000.000,-,18.978.487.829,3.518.978.487.829,3500000000000.0,,18978487829.0,3518978487829.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,388.383.387.448,388.383.387.448,,,388383387448.0,388383387448.0
Phân phối các quỹ,Phân phối các quỹ,Phân phối các quỹ,-,-,(17.580.074.025),(17.580.074.025),,,-17580074025.0,-17580074025.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.500.000.000.000,-,389.781.801.252,3.889.781.801.252,3500000000000.0,,389781801252.0,3889781801252.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,854.129.257.052,854.129.257.052,,,854129257052.0,854129257052.0
Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),Trích lập quỹ đầu tư phát triển (*),-,30.293.139.240,(30.293.139.240),-,,30293139240.0,-30293139240.0,
Trích lập quỹ khen thưởng phúc lợi (**),Trích lập quỹ khen thưởng phúc lợi (**),Trích lập quỹ khen thưởng phúc lợi (**),-,-,(44.398.097.412),(44.398.097.412),,,-44398097412.0,-44398097412.0
Trích lập Quỹ thưởng người quản lý (***),Trích lập Quỹ thưởng người quản lý (***),Trích lập Quỹ thưởng người quản lý (***),-,-,(2.462.625.000),(2.462.625.000),,,-2462625000.0,-2462625000.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,(350.000.000.000),(350.000.000.000),,,-350000000000.0,-350000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.500.000.000.000,30.293.139.240,816.757.196.652,4.347.050.335.892,3500000000000.0,30293139240.0,816757196652.0,4347050335892.0
