row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phân sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phân sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
,,,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
1,1,1,Công ty TNHH Sản xuất,Quảng Ninh,"49,00","49,00",Sản xuất nguyên liệu giấy,,,49.0,49.0,
1,1,1,Nguyên liệu giấy Việt Nhật Cái Lần,,,,,,,,,
2,1 > 2,2,Công ty Cổ phần Cờ Đỏ,TP. Hà Nội,"45,78","45,78",Công nghiệp chế tạo máy móc thiết bị cho lâm nghiệp,,,45.78,45.78,
3,1 > 3,3,Công ty TNHH Việt Nhật Chế biến gỗ và đăm gỗ Dung Quất,Quảng Ngãi,"49,00","49,00","Sản xuất nguyên liệu giấy, chế biến gỗ",,,49.0,49.0,
4,1 > 4,4,Công ty Cổ phần 19/5 Đoan Hùng,Phú Thọ,"49,01","49,01","Khai thác, kinh doanh, chế biến gỗ và lâm sản",,,49.01,49.01,
5,1 > 5,5,Công ty Cổ phần Formach,TP. Hà Nội,"27,78","27,78","Chế tạo máy chế biến gỗ, công nghiệp",,,27.78,27.78,
