row_label_raw,row_label_full,col_0,Nhà cửaVND,"Máy móc, thiết bịVND",TổngVND,numeric__Nhà cửaVND,"numeric__Máy móc, thiết bịVND",numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,167.341.644.075,50.787.565.467,218.129.209.542,167341644075.0,50787565467.0,218129209542.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,66.501.915,66.501.915,,66501915.0,66501915.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,GIÁ TRỊ HAO MÒNLỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Số dư đầu năm,Số dư đầu năm,27.111.054.037,22.436.320.794,49.547.374.831,27111054037.0,22436320794.0,49547374831.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,4.784.522.880,5.227.285.690,10.011.808.570,4784522880.0,5227285690.0,10011808570.0
Số dư cuối năm,GIÁ TRỊ HAO MÒNLỦY KẾ > Số dư cuối năm,Số dư cuối năm,31.895.576.917,27.663.606.484,59.559.183.401,31895576917.0,27663606484.0,59559183401.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,140.230.590.038,28.351.244.673,168.581.834.711,140230590038.0,28351244673.0,168581834711.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,135.446.067.158,23.190.460.898,158.636.528.056,135446067158.0,23190460898.0,158636528056.0
