row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi,Số cuối năm > VND Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị có thể thu hồi,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi,numeric__Số cuối năm > VND Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị có thể thu hồi,numeric__Số đầu năm > VND Dự phòng
Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,Phải thu khó có khả năng thu hồi ngắn hạn,,,,,,
Phải thu về cho vay,Phải thu khó có khả năng thu hồi ngắn hạn > Phải thu về cho vay,Phải thu về cho vay,47.185.582.760,5.568.455.025,41.617.127.735,30.521.113.190,14.565.000.134,15.956.113.056,47185582760.0,5568455025.0,41617127735.0,30521113190.0,14565000134.0,15956113056.0
Công ty TNHH Việt Nhật,Phải thu khó có khả năng thu hồi ngắn hạn > Công ty TNHH Việt Nhật,Công ty TNHH Việt Nhật,9.271.475.500,3.126.266.386,6.145.209.114,2.592.569.500,2.592.569.500,-,9271475500.0,3126266386.0,6145209114.0,2592569500.0,2592569500.0,
Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,Chế biến gỗ và đảm gỗ Dung Quất,,,,,,
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Chế biến gỗ và đảm gỗ Dung Quất > Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,33.055.926.986,2.442.188.639,30.613.738.347,22.070.363.416,11.972.430.634,10.097.932.782,33055926986.0,2442188639.0,30613738347.0,22070363416.0,11972430634.0,10097932782.0
Công ty Cổ Phần Vinafor Tây Nguyên,Chế biến gỗ và đảm gỗ Dung Quất > Công ty Cổ Phần Vinafor Tây Nguyên,Công ty Cổ Phần Vinafor Tây Nguyên,2.858.180.274,-,2.858.180.274,3.858.180.274,-,3.858.180.274,2858180274.0,,2858180274.0,3858180274.0,,3858180274.0
Công ty Cổ Phần Giống Lâm nghiệp vùng Đông Bắc,Chế biến gỗ và đảm gỗ Dung Quất > Công ty Cổ Phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ Phần Giống Lâm nghiệp vùng Đông Bắc,2.000.000.000,-,2.000.000.000,2.000.000.000,-,2.000.000.000,2000000000.0,,2000000000.0,2000000000.0,,2000000000.0
Phải thu khách hàng,Chế biến gỗ và đảm gỗ Dung Quất > Phải thu khách hàng,Phải thu khách hàng,3.865.760.168,1.026.083.261,2.839.676.907,2.540.873.413,749.240.976,1.791.632.437,3865760168.0,1026083261.0,2839676907.0,2540873413.0,749240976.0,1791632437.0
Phải thu về cổ phần hóa,Chế biến gỗ và đảm gỗ Dung Quất > Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,3.373.666.024,32.420.000,3.341.246.024,3.373.666.024,16.210.000,3.357.456.024,3373666024.0,32420000.0,3341246024.0,3373666024.0,16210000.0,3357456024.0
Phải thu khác,Chế biến gỗ và đảm gỗ Dung Quất > Phải thu khác,Phải thu khác,1.225.706.718,42.859.513,1.182.847.205,2.444.316.966,332.272.597,2.112.044.369,1225706718.0,42859513.0,1182847205.0,2444316966.0,332272597.0,2112044369.0
,,,55.650.715.670,6.669.817.799,48.980.897.871,38.879.969.593,15.662.723.707,23.217.245.886,55650715670.0,6669817799.0,48980897871.0,38879969593.0,15662723707.0,23217245886.0
