row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,Phải thu từ cho vay ngắn hạn,48.668.462.760,31.972.403.190,48668462760.0,31972403190.0
Công ty TNHH Ván dán Vinafor Bắc Giang,Công ty TNHH Ván dán Vinafor Bắc Giang,Công ty TNHH Ván dán Vinafor Bắc Giang,33.055.926.986,22.070.363.416,33055926986.0,22070363416.0
Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,9.271.475.500,2.592.659.500,9271475500.0,2592659500.0
Dung Quất,Dung Quất,Dung Quất,,,,
Công ty Cổ phần Vinafor Tây Nguyên,Dung Quất > Công ty Cổ phần Vinafor Tây Nguyên,Công ty Cổ phần Vinafor Tây Nguyên,2.858.180.274,3.858.180.274,2858180274.0,3858180274.0
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Dung Quất > Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,2.000.000.000,2.000.000.000,2000000000.0,2000000000.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Dung Quất > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,1.482.880.000,1.451.200.000,1482880000.0,1451200000.0
Phải thu từ cho vay dài hạn,Dung Quất > Phải thu từ cho vay dài hạn,Phải thu từ cho vay dài hạn,80.360.177.170,53.886.578.334,80360177170.0,53886578334.0
Công ty TNHH Ván dán Vinafor Bắc Giang,Dung Quất > Công ty TNHH Ván dán Vinafor Bắc Giang,Công ty TNHH Ván dán Vinafor Bắc Giang,80.210.177.170,45.954.636.584,80210177170.0,45954636584.0
Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Dung Quất > Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm Nghiệp vùng Đông Bắc,150.000.000,-,150000000.0,
Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,Dung Quất > Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,Công ty TNHH Việt Nhật Chế biến gỗ và đảm gỗ,-,6.480.741.750,,6480741750.0
Dung Quất,Dung Quất,Dung Quất,,,,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Dung Quất > Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,-,1.451.200.000,,1451200000.0
Phải trả người bán ngắn hạn,Dung Quất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,147.281.455,,147281455.0
Công ty Cổ phần Kon Hà Nùng,Dung Quất > Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,-,133.861.455,,133861455.0
Công ty Cổ phần Formach,Dung Quất > Công ty Cổ phần Formach,Công ty Cổ phần Formach,-,13.420.000,,13420000.0
Phải trả ngắn hạn khác,Dung Quất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,10.998.575,10.975.905,10998575.0,10975905.0
Công ty TNHH MTV Lâm nghiệp Lộc Bình,Dung Quất > Công ty TNHH MTV Lâm nghiệp Lộc Bình,Công ty TNHH MTV Lâm nghiệp Lộc Bình,9.965.112,9.965.112,9965112.0,9965112.0
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Dung Quất > Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,1.033.463,1.010.793,1033463.0,1010793.0
Phải trả dài hạn khác,Dung Quất > Phải trả dài hạn khác,Phải trả dài hạn khác,1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
Công ty TNHH Yamaha Motor Việt Nam,Dung Quất > Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
