row_label_raw,row_label_full,Năm nayChi tiêu,Hoạt động khai thác rừng trồng,Hoạt động kinh doanh gỗ,Sản xuất và bán vấn MDF,Cho thuê văn phòng,Hoạt động khác,Tổng,numeric__Hoạt động khai thác rừng trồng,numeric__Hoạt động kinh doanh gỗ,numeric__Sản xuất và bán vấn MDF,numeric__Cho thuê văn phòng,numeric__Hoạt động khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
1. Doanh thu thuần từ bán hàng ra bên ngoài,1. Doanh thu thuần từ bán hàng ra bên ngoài,1. Doanh thu thuần từ bán hàng ra bên ngoài,20.472.318.378,345.984.334.693,308.624.464.327,69.586.197.072,13.680.369.986,758.347.684.456,20472318378.0,345984334693.0,308624464327.0,69586197072.0,13680369986.0,758347684456.0
2. Khẩu hao và chi phí phân bổ,2. Khẩu hao và chi phí phân bổ,2. Khẩu hao và chi phí phân bổ,13.614.643.573,336.796.612.862,230.529.883.726,42.294.633.767,49.777.040.866,673.012.814.794,13614643573.0,336796612862.0,230529883726.0,42294633767.0,49777040866.0,673012814794.0
3. Lợi nhuận từ hoạt động kinh doanh,3. Lợi nhuận từ hoạt động kinh doanh,3. Lợi nhuận từ hoạt động kinh doanh,6.857.674.805,9.187.721.831,78.094.580.601,27.291.563.305,(36.096.670.880),85.334.869.662,6857674805.0,9187721831.0,78094580601.0,27291563305.0,-36096670880.0,85334869662.0
4. Tổng chi phí đã phát sinh để mua TSCĐ,4. Tổng chi phí đã phát sinh để mua TSCĐ,4. Tổng chi phí đã phát sinh để mua TSCĐ,,,,,,4.474.655.907,,,,,,4474655907.0
5. Tài sản bộ phận,5. Tài sản bộ phận,5. Tài sản bộ phận,,,,,,-,,,,,,
6. Tài sản không phân bổ,5. Tài sản bộ phận > 6. Tài sản không phân bổ,6. Tài sản không phân bổ,,,,,,4.546.992.388.270,,,,,,4546992388270.0
Tổng Tài sản,5. Tài sản bộ phận > Tổng Tài sản,Tổng Tài sản,,,,,,4.546.992.388.270,,,,,,4546992388270.0
7. Nợ phải trả bộ phận,7. Nợ phải trả bộ phận,7. Nợ phải trả bộ phận,,,,,,-,,,,,,
8. Nợ phải trả không phân bổ,7. Nợ phải trả bộ phận > 8. Nợ phải trả không phân bổ,8. Nợ phải trả không phân bổ,,,,,,199.229.648.985,,,,,,199229648985.0
Tổng Nợ phải trả,7. Nợ phải trả bộ phận > Tổng Nợ phải trả,Tổng Nợ phải trả,,,,,,199.229.648.985,,,,,,199229648985.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Chi tiêu,Chi tiêu,Chi tiêu,Hoạt động khai thác rừng trồng,Hoạt động kinh doanh gỗ,Sản xuất và bán vấn MDF,Cho thuê văn phòng,Hoạt động khác,Tổng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
1. Doanh thu thuần từ bán hàng ra bên ngoài,Chi tiêu > 1. Doanh thu thuần từ bán hàng ra bên ngoài,1. Doanh thu thuần từ bán hàng ra bên ngoài,20.613.684.246,372.592.908.293,257.339.132.650,66.662.450.822,12.855.996.794,730.064.172.805,20613684246.0,372592908293.0,257339132650.0,66662450822.0,12855996794.0,730064172805.0
2. Khẩu hao và chi phí phân bổ,Chi tiêu > 2. Khẩu hao và chi phí phân bổ,2. Khẩu hao và chi phí phân bổ,20.319.621.095,357.809.284.537,209.502.457.428,37.036.625.460,10.033.465.223,634.701.453.743,20319621095.0,357809284537.0,209502457428.0,37036625460.0,10033465223.0,634701453743.0
3. Lợi nhuận từ hoạt động kinh doanh,Chi tiêu > 3. Lợi nhuận từ hoạt động kinh doanh,3. Lợi nhuận từ hoạt động kinh doanh,294.063.151,14.783.623.756,47.836.675.222,29.625.825.362,2.822.531.571,95.362.719.062,294063151.0,14783623756.0,47836675222.0,29625825362.0,2822531571.0,95362719062.0
4. Tổng chi phí đã phát sinh để mua TSCĐ,Chi tiêu > 4. Tổng chi phí đã phát sinh để mua TSCĐ,4. Tổng chi phí đã phát sinh để mua TSCĐ,,,,,,13.716.191.722,,,,,,13716191722.0
5 Tài sản bộ phận,5 Tài sản bộ phận,5 Tài sản bộ phận,,,,,,-,,,,,,
6. Tài sản không phân bổ,5 Tài sản bộ phận > 6. Tài sản không phân bổ,6. Tài sản không phân bổ,,,,,,4.280.765.298.645,,,,,,4280765298645.0
Tổng Tài sản,5 Tài sản bộ phận > Tổng Tài sản,Tổng Tài sản,,,,,,4.280.765.298.645,,,,,,4280765298645.0
7. Nợ phải trả bộ phận,7. Nợ phải trả bộ phận,7. Nợ phải trả bộ phận,,,,,,-,,,,,,
8. Nợ phải trả không phân bổ,7. Nợ phải trả bộ phận > 8. Nợ phải trả không phân bổ,8. Nợ phải trả không phân bổ,,,,,,390.271.094.000,,,,,,390271094000.0
Tổng Nợ phải trả,7. Nợ phải trả bộ phận > Tổng Nợ phải trả,Tổng Nợ phải trả,,,,,,390.271.094.000,,,,,,390271094000.0
