row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp trong nămVND,numeric__Số cuối nămVND
Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,Các khoản phải trả,,,,
Thuế giá trị gia tăng,Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.117.872.423,49.643.288.220,50.662.382.981,1.098.777.662,2117872423.0,49643288220.0,50662382981.0,1098777662.0
Thuế GTGT hàng trong nước,Các khoản phải trả > Thuế GTGT hàng trong nước,Thuế GTGT hàng trong nước,2.117.872.423,19.333.150.712,20.352.245.473,1.098.777.662,2117872423.0,19333150712.0,20352245473.0,1098777662.0
Thuế GTGT hàng nhập khẩu,Các khoản phải trả > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,30.310.137.508,30.310.137.508,-,,30310137508.0,30310137508.0,
"Thuế xuất, nhập khẩu","Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,11.847.627.714,11.847.627.714,-,,11847627714.0,11847627714.0,
Thuế thu nhập doanh nghiệp,Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.239.087.503,22.669.984.218,13.699.140.268,12.209.931.453,3239087503.0,22669984218.0,13699140268.0,12209931453.0
Thuế thu nhập cá nhân,Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,749.123.412,9.729.739.821,10.069.069.841,409.793.392,749123412.0,9729739821.0,10069069841.0,409793392.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải trả > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,7.656.192.117,6.814.117.735,842.074.382,,7656192117.0,6814117735.0,842074382.0
Các loại thuế khác,Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,80.372.837,80.372.837,-,,80372837.0,80372837.0,
Lợi nhuận phải nộp về Nhà nước,Các khoản phải trả > Lợi nhuận phải nộp về Nhà nước,Lợi nhuận phải nộp về Nhà nước,41.325.809.797,-,41.325.809.797,-,41325809797.0,,41325809797.0,
"Các khoản thuế, phí, lệ phí và các khoản phải nộp khác","Các khoản phải trả > Các khoản thuế, phí, lệ phí và các khoản phải nộp khác","Các khoản thuế, phí, lệ phí và các khoản phải nộp khác",133.213.210.637,946.389.125,133.838.482.458,321.117.304,133213210637.0,946389125.0,133838482458.0,321117304.0
,,,180.645.103.772,102.573.594.052,268.337.003.631,14.881.694.193,180645103772.0,102573594052.0,268337003631.0,14881694193.0
