row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.297.272.323.450,2.828.395.508.373,,100.0,,3297272323450.0,2828395508373.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,88.274.606.096,136.539.329.585,,110.0,4.0,88274606096.0,136539329585.0
1.,1.,1.,Tiền,111,,57.374.606.096,31.352.129.819,,111.0,,57374606096.0,31352129819.0
2.,2.,2.,Các khoản tương đương tiền,112,,30.900.000.000,105.187.199.766,,112.0,,30900000000.0,105187199766.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.566.303.271.194,2.176.517.546.868,,120.0,5.0,2566303271194.0,2176517546868.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,2.566.303.271.194,2.176.517.546.868,,123.0,,2566303271194.0,2176517546868.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,162.847.945.886,192.220.676.157,,130.0,,162847945886.0,192220676157.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,48.453.455.534,36.129.709.922,,131.0,6.0,48453455534.0,36129709922.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,7,10.132.306.145,53.487.592.190,,132.0,7.0,10132306145.0,53487592190.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,8,48.668.462.760,31.972.403.190,,135.0,8.0,48668462760.0,31972403190.0
4.,4.,4.,Phải thu ngắn hạn khác,136,9,104.574.619.318,93.848.216.741,,136.0,9.0,104574619318.0,93848216741.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,10,(48.980.897.871),(23.217.245.886),,137.0,10.0,-48980897871.0,-23217245886.0
IV.,IV.,IV.,Hàng tồn kho,140,11,474.057.331.464,316.791.773.760,,140.0,11.0,474057331464.0,316791773760.0
1.,1.,1.,Hàng tồn kho,141,,483.864.277.144,324.914.752.882,,141.0,,483864277144.0,324914752882.0
