row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm
,,,Giá gốc,VND,VND,VND,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
"b2, Đầu tư vào công ty liên kết","b2, Đầu tư vào công ty liên kết","b2, Đầu tư vào công ty liên kết",453.709.605.017,14.625.874.547,553.319.168.167,15.131.066.927,453709605017.0,14625874547.0,553319168167.0,15131066927.0
Công ty TNHH YAMAHA MOTOR Việt Nam,Công ty TNHH YAMAHA MOTOR Việt Nam,Công ty TNHH YAMAHA MOTOR Việt Nam,271.004.447.055,-,367.206.753.212,-,271004447055.0,,367206753212.0,
Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,45.092.785.462,-,45.092.785.462,-,45092785462.0,,45092785462.0,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lăn,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lăn,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lăn,26.139.084.964,-,26.139.084.964,-,26139084964.0,,26139084964.0,
Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật,22.525.816.641,-,22.525.816.641,-,22525816641.0,,22525816641.0,
Công ty Liên doanh Nuôi và Phát triển khi Việt Nam,Công ty Liên doanh Nuôi và Phát triển khi Việt Nam,Công ty Liên doanh Nuôi và Phát triển khi Việt Nam,18.434.398.669,-,18.434.398.669,-,18434398669.0,,18434398669.0,
Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất nguyên liệu giấy Việt Nhật Vũng Áng,12.401.394.337,-,12.401.394.337,-,12401394337.0,,12401394337.0,
Công ty Cổ phần Cờ Đó,Công ty Cổ phần Cờ Đó,Công ty Cổ phần Cờ Đó,11.525.782.967,-,11.525.782.967,-,11525782967.0,,11525782967.0,
Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp 19,8.054.284.341,-,8.054.284.341,-,8054284341.0,,8054284341.0,
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,6.000.000.000,6.000.000.000,6.000.000.000,6.000.000.000,6000000000.0,6000000000.0,6000000000.0,6000000000.0
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,5.787.821.081,-,5.787.821.081,-,5787821081.0,,5787821081.0,
Công ty Cổ phần Lâm nghiệp Miên Đông,Công ty Cổ phần Lâm nghiệp Miên Đông,Công ty Cổ phần Lâm nghiệp Miên Đông,4.891.656.170,-,4.891.656.170,-,4891656170.0,,4891656170.0,
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,4.625.605.602,4.625.605.602,4.625.605.602,4.625.605.602,4625605602.0,4625605602.0,4625605602.0,4625605602.0
Công ty Cổ phần Formach,Công ty Cổ phần Formach,Công ty Cổ phần Formach,4.155.164.541,3.644.476.961,4.155.164.541,3.912.063.583,4155164541.0,3644476961.0,4155164541.0,3912063583.0
