row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Khoàn nộp về quỹ Hỗ trợ sắp xếp doanh nghiệp phát sinh từ Cổ phần hóa Tổng Công ty,32,(46.548.893.851),(528.106.579.783),,32.0,-46548893851.0,-528106579783.0
2.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(15.153.610.800),(37.956.087.652),,34.0,-15153610800.0,-37956087652.0
3.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(350.000.000.000),-,,36.0,-350000000000.0,
4.,III. LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4.,4.,Lợi nhuận nộp về ngân sách Nhà nước cho giai đoạn Tổng công ty là doanh nghiệp nhà nước,36,(38.711.648.661),(119.386.088.388),,36.0,-38711648661.0,-119386088388.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(450.414.153.312),(685.448.755.823),,40.0,-450414153312.0,-685448755823.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(48.270.457.281),62.880.506.743,,50.0,-48270457281.0,62880506743.0
,,,Tiền và tương đương tiền đầu năm,60,136.539.329.585,73.633.521.707,,60.0,136539329585.0,73633521707.0
,,,Ảnh hưởng của thay đổi tỷ giá hồi đoái quy đổi ngoại tệ,61,5.733.792,25.301.135,,61.0,5733792.0,25301135.0
,,,Tiền và tương đương tiền cuối năm (70=50+60+61),70,88.274.606.096,136.539.329.585,,70.0,88274606096.0,136539329585.0
