row_label_raw,row_label_full,Bên vay,Số cuối năm,Số đầu năm,Kỳ hạn trả gốcvà lãi,Hình thứcđảm bào,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Kỳ hạn trả gốcvà lãi,numeric__Hình thứcđảm bào
,,,VND,VND,,,,,,
Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,2.858.180.274,3.858.180.274,Kỳ hạn vay không quá12 tháng từ ngày giảngân. Gia hạn đếnngày 30 tháng 6 năm2018. Gốc vay và lãitrả khi đáo hạn,Toàn bộkhoản phải thu của Công ty,2858180274.0,3858180274.0,,
Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệpvùng Đông Bắc,2.000.000.000,2.000.000.000,Kỳ hạn vay không quá12 tháng từ ngày giảngân. Ngày đảo hạntrả nợ gốc vay cuốicùng là ngày 31 tháng12 năm 2018. Lãi vaytrả trong năm 2019.,Toàn bộ tài sản của bênvay,2000000000.0,2000000000.0,,
Công ty TNHH ViệtNhật Chế biển gỗvà Dăm gỗ DungQuất,Công ty TNHH ViệtNhật Chế biển gỗvà Dăm gỗ DungQuất,Công ty TNHH ViệtNhật Chế biển gỗvà Dăm gỗ DungQuất,9.271.475.500,2.592.659.500,Gốc vay và lãi trả 06tháng 1 lần,Tín chấp,9271475500.0,2592659500.0,,
Công ty TNHH Sảnxuất Nguyên liệugiấy Việt Nhật VũngÂng,Công ty TNHH Sảnxuất Nguyên liệugiấy Việt Nhật VũngÂng,Công ty TNHH Sảnxuất Nguyên liệugiấy Việt Nhật VũngÂng,1.482.880.000,1.451.200.000,Đáo hạn ngày 30tháng 9 năm 2019.Gốc vay và lãi trả 06tháng 1 lần,Tín chấp,1482880000.0,1451200000.0,,
Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,Công ty TNHH MTVVán dán Vinafor BắcGiang,33.055.926.986,22.070.363.416,Đáo hạn muộn nhấtngày 31 tháng 12 năm2019. Gốc vay và lãitrả 03 tháng 1 lần,Tín chấp,33055926986.0,22070363416.0,,
,,,48.668.462.760,31.972.403.190,,,48668462760.0,31972403190.0,,
