row_label_raw,row_label_full,Cổ đông,Theo Giấy chứng nhận đăng ký doanh nghiệp,Theo Giấy chứng nhận đăng ký doanh nghiệp_1,Vốn đã góp,Vốn đã góp_1,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp,numeric__Theo Giấy chứng nhận đăng ký doanh nghiệp_1,numeric__Vốn đã góp,numeric__Vốn đã góp_1
Cổ đông,Cổ đông,Cổ đông,,%,Số cuối năm VND,Số đầu năm VND,,,,
Ủy ban Quản lý vốn Nhà nước tại Doanh nghiệp,Cổ đông > Ủy ban Quản lý vốn Nhà nước tại Doanh nghiệp,Ủy ban Quản lý vốn Nhà nước tại Doanh nghiệp,1.785.000.000.000,51%,1.785.000.000.000,-,1785000000000.0,0.51,1785000000000.0,
Bộ Nông nghiệp và Phát triển Nông thôn,Cổ đông > Bộ Nông nghiệp và Phát triển Nông thôn,Bộ Nông nghiệp và Phát triển Nông thôn,-,-,-,1.785.000.000.000,,,,1785000000000.0
Công ty Cổ phần Tập đoàn T&T,Cổ đông > Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,1.400.000.000.000,40%,1.400.000.000.000,1.400.000.000.000,1400000000000.0,0.4,1400000000000.0,1400000000000.0
Vốn góp của các cổ đông khác,Cổ đông > Vốn góp của các cổ đông khác,Vốn góp của các cổ đông khác,315.000.000.000,9%,315.000.000.000,315.000.000.000,315000000000.0,0.09,315000000000.0,315000000000.0
,,,3.500.000.000.000,100%,3.500.000.000.000,3.500.000.000.000,3500000000000.0,1.0,3500000000000.0,3500000000000.0
