row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,28,759.188.095.265,730.064.172.805,,1.0,28.0,759188095265.0,730064172805.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,840.410.809,-,,2.0,,840410809.0,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,758.347.684.456,730.064.172.805,,10.0,,758347684456.0,730064172805.0
4.,4.,4.,Giá vốn hàng bán,11,29,673.012.814.794,634.701.453.743,,11.0,29.0,673012814794.0,634701453743.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,85.334.869.662,95.362.719.062,,20.0,,85334869662.0,95362719062.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,31,992.678.345.220,473.277.077.088,,21.0,31.0,992678345220.0,473277077088.0
7.,7.,7.,Chi phí tài chính,22,32,2.922.620.159,13.369.974.840,,22.0,32.0,2922620159.0,13369974840.0
,,,- Trong đó: Chi phí lãi vay,23,,49.133.333,1.055.315.653,,23.0,,49133333.0,1055315653.0
8.,8.,8.,Chi phí bán hàng,25,33,30.473.896.472,30.100.642.613,,25.0,33.0,30473896472.0,30100642613.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,33,167.254.124.175,125.634.154.880,,26.0,33.0,167254124175.0,125634154880.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,877.362.574.076,399.535.023.817,,30.0,,877362574076.0,399535023817.0
11.,11.,11.,Thu nhập khác,31,,767.408.367,1.127.665.683,,31.0,,767408367.0,1127665683.0
12.,12.,12.,Chi phí khác,32,,1.330.741.173,2.995.629.288,,32.0,,1330741173.0,2995629288.0
13.,13.,13.,(Lỗ) khác (40=31-32),40,,(563.332.806),(1.867.963.605),,40.0,,-563332806.0,-1867963605.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,876.799.241.270,397.667.060.212,,50.0,,876799241270.0,397667060212.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,22.669.984.218,9.283.672.764,,51.0,34.0,22669984218.0,9283672764.0
16.,16.,16.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,854.129.257.052,388.383.387.448,,60.0,,854129257052.0,388383387448.0
