row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
6,6,6,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Đắk Lắk,"30,00","30,00",Chế biến lâm sản,,,30.0,30.0,
7,7,7,Công ty Cổ phần Giống Lâm nghiệp Trung ương,TP. Hà Nội,"48,10","48,10",Sản xuất và kinh doanh các loại giống cây trồng,,,48.1,48.1,
8,8,8,Công ty Cổ phần Kon Hà Nùng,Gia Lai,"30,00","30,00","Trồng rừng, chế biến gỗ",,,30.0,30.0,
9,9,9,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Đà Nẵng,"39,97","39,97",Sản xuất nguyên liệu giấy,,,39.97,39.97,
10,10,10,Công ty Liên doanh Nuôi và Phát triển khí Việt Nam,Đồng Nai,"40,00","40,00",Chăn nuôi và xuất khẩu khí,,,40.0,40.0,
11,11,11,Công ty Cổ phần Tư vấn và đầu tư Forprodex,TP. Hà Nội,"27,25","27,25","Kinh doanh nông, lâm, hải sản",,,27.25,27.25,
12,12,12,Công ty Cổ phần Lâm nghiệp 19,Bình Định,"30,00","30,00",Chế biến gỗ,,,30.0,30.0,
13,13,13,Công ty Cổ phần Xuất nhập khẩu Lâm nông sản Sài Gòn,TP. Hồ Chí Minh,"30,00","30,00",Chế biến gỗ và lâm sản,,,30.0,30.0,
14,14,14,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Naforimex Hà Nội,TP. Hà Nội,"30,00","30,00","Khai thác, sản xuất, chế biến, mua bán và xuất nhập khẩu nông sản",,,30.0,30.0,
15,15,15,Công ty Cổ phần Lâm nghiệp Miền Đông,TP. Hồ Chí Minh,"30,00","30,00","Sản xuất, mua bán nông lâm sản",,,30.0,30.0,
16,16,16,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,TP. Hà Nội,"35,00","35,00",Chế biến lâm sản,,,35.0,35.0,
17,17,17,Công ty TNHH Nguyên liệu giấy Quy Nhơn,Bình Định,"22,00","22,00","Sản xuất nguyên liệu giấy, chế biến gỗ",,,22.0,22.0,
18,18,18,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Hà Tĩnh,"40,00","40,00",Sản xuất nguyên liệu giấy,,,40.0,40.0,
19,19,19,Công ty Cổ phần Thương mại Lâm sản Hà Nội,TP. Hà Nội,"30,00","30,00","Kinh doanh nông, lâm, hải sản",,,30.0,30.0,
20,20,20,Công ty TNHH Việt Thành Thái,TP. Hồ Chí Minh,"35,00","35,00",Kinh doanh tổng hợp,,,35.0,35.0,
21,21,21,Công ty Cổ phần Xây lắp Đầu tư Phát triển Nông lâm nghiệp Việt Nam,TP. Hà Nội,"20,33","20,33","Xây dựng, chế biến, kinh doanh nông lâm sản",,,20.33,20.33,
22,22,22,Công ty TNHH YAMAHA MOTOR Việt Nam,TP. Hà Nội,"30,00","30,00",Sản xuất và kinh doanh xe máy,,,30.0,30.0,
23,23,23,Công ty Cổ phần Thương mại Công nghiệp và Chế biến gỗ,TP. Hà Nội,"29,69","29,69",Sản xuất các loại ván nhân tạo,,,29.69,29.69,
24,24,24,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành (**),TP. Hồ Chí Minh,"15,56","30,10",Sản xuất nguyên liệu giấy,,,15.56,30.1,
