row_label_raw,row_label_full,col_0,Đơn vị,Số cuối năm VND,Số đầu năm VND,numeric__Đơn vị,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Ngoại tệ các loại,Ngoại tệ các loại,Ngoại tệ các loại,Ngoại tệ các loại,Ngoại tệ các loại,Ngoại tệ các loại,,,
Đô la Mỹ,Ngoại tệ các loại > Đô la Mỹ,Đô la Mỹ,USD,"12.635,59","28.313,82",,12635.59,28313.82
Euro,Ngoại tệ các loại > Euro,Euro,EUR,"169,07","18.507,14",,169.07,18507.14
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,,,
Các đổi tương công nợ phải thu,Nợ khó đòi đã xử lý > Các đổi tương công nợ phải thu,Các đổi tương công nợ phải thu,VND,11.537.475.760,11.537.475.760,,11537475760.0,11537475760.0
