row_label_raw,row_label_full,Bên vay,Số cuối năm,Số đầu năm,Kỳ hạn trả gốc và lãi,Hình thức đảm bảo,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Kỳ hạn trả gốc và lãi,numeric__Hình thức đảm bảo
,,,VND,VND,,,,,,
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,80.210.177.170,45.954.636.584,Đáo hạn muộn nhất ngày 31 tháng 12 năm 2023. Gốc vay và lãi trả 03 tháng 1 lần hoặc lãi suất 0% trong giai đoạn tạm ngừng kinh doanh,Tín chấp,80210177170.0,45954636584.0,,
Công ty cổ phần Giống Lâm nghiệp vùng Đồng Bắc,Công ty cổ phần Giống Lâm nghiệp vùng Đồng Bắc,Công ty cổ phần Giống Lâm nghiệp vùng Đồng Bắc,150.000.000,-,Kỳ hạn vay 24 tháng. Đáo hạn ngày 16 tháng 10 năm 2020. Lãi suất 7%/năm. Lãi và gốc trả khi đáo hạn,Toàn bộ tài sản của bên vay,150000000.0,,,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,-,1.451.200.000,Đã phân loại sang nợ ngắn hạn,Tín chấp,,1451200000.0,,
Công ty TNHH Việt Nhật Chế biển gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biển gỗ và đảm gỗ Dung Quất,Công ty TNHH Việt Nhật Chế biển gỗ và đảm gỗ Dung Quất,-,6.480.741.750,Đã phân loại sang nợ ngắn hạn,Tín chấp,,6480741750.0,,
