row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,876.799.241.270,397.667.060.212,,1.0,876799241270.0,397667060212.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
2.,2. > 2.,2.,Khẩu hao tài sản cố định và bất động sản đầu tư,02,36.019.558.654,53.415.038.034,,2.0,36019558654.0,53415038034.0
2.,2. > 2.,2.,Các khoản dự phòng,03,72.787.881.421,34.449.961.627,,3.0,72787881421.0,34449961627.0
2.,2. > 2.,2.,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(146.134.765),158.320.367,,4.0,-146134765.0,158320367.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(989.552.629.899),(472.537.580.524),,5.0,-989552629899.0,-472537580524.0
2.,2. > 2.,2.,Chi phí lãi vay,06,49.133.333,1.055.315.653,,6.0,49133333.0,1055315653.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,(4.042.949.986),14.208.115.369,,8.0,-4042949986.0,14208115369.0
3.,2. > 3.,3.,Giảm các khoản phải thu,09,26.300.749.863,820.695.975,,9.0,26300749863.0,820695975.0
3.,2. > 3.,3.,(Tăng) hàng tồn kho,10,(65.695.132.704),(32.655.319.858),,10.0,-65695132704.0,-32655319858.0
3.,2. > 3.,3.,"(Giảm)/tăng các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,(116.549.445.707),11.616.873.689,,11.0,-116549445707.0,11616873689.0
3.,2. > 3.,3.,Giảm chi phí trả trước,12,11.298.278.833,56.492.443,,12.0,11298278833.0,56492443.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(4.508.916.741),(3.708.552.192),,14.0,-4508916741.0,-3708552192.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(13.699.140.268),(6.947.134.422),,15.0,-13699140268.0,-6947134422.0
3.,2. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(24.488.642.225),(19.034.397.037),,17.0,-24488642225.0,-19034397037.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(191.385.198.935),(35.643.226.033),,20.0,-191385198935.0,-35643226033.0
II.,II.,II.,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(4.474.655.907),(13.716.191.722),,21.0,-4474655907.0,-13716191722.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,52.727.273,4.677.617.425,,22.0,52727273.0,4677617425.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(2.957.007.084.935),(1.847.359.200.000),,23.0,-2957007084935.0,-1847359200000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,2.524.829.268.465,1.416.671.344.894,,24.0,2524829268465.0,1416671344894.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(44.459.665.103),(43.820.047.373),,25.0,-44459665103.0,-43820047373.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,98.550.039.708,814.699.004.665,,26.0,98550039708.0,814699004665.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,976.038.265.465,452.819.960.710,,27.0,976038265465.0,452819960710.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,593.528.894.966,783.972.488.599,,30.0,593528894966.0,783972488599.0
