row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Thiết bị văn phòng,Phương tiện vận tải,Tài sản cố định khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Thiết bị văn phòng,numeric__Phương tiện vận tải,numeric__Tài sản cố định khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,180.720.966.335,315.756.531.796,61.199.573.626,20.541.769.651,1.872.842.507,580.091.683.915,180720966335.0,315756531796.0,61199573626.0,20541769651.0,1872842507.0,580091683915.0
Mua sắm trong năm,NGUYÊN GIÁ > Mua sắm trong năm,Mua sắm trong năm,2.050.087.451,93.836.086,545.900.000,1.660.330.455,-,4.350.153.992,2050087451.0,93836086.0,545900000.0,1660330455.0,,4350153992.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(334.994.324),-,(334.994.324),,,,-334994324.0,,-334994324.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,182.771.053.786,315.850.367.882,61.745.473.626,21.867.105.782,1.872.842.507,584.106.843.583,182771053786.0,315850367882.0,61745473626.0,21867105782.0,1872842507.0,584106843583.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,89.734.170.067,287.213.056.282,42.279.812.700,14.215.406.143,1.466.309.244,434.908.754.436,89734170067.0,287213056282.0,42279812700.0,14215406143.0,1466309244.0,434908754436.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,9.097.463.267,5.460.263.167,8.678.572.058,1.805.883.264,91.877.028,25.134.058.784,9097463267.0,5460263167.0,8678572058.0,1805883264.0,91877028.0,25134058784.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,(298.703.279),-,(298.703.279),,,,-298703279.0,,-298703279.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,98.831.633.334,292.673.319.449,50.958.384.758,15.722.586.128,1.558.186.272,459.744.109.941,98831633334.0,292673319449.0,50958384758.0,15722586128.0,1558186272.0,459744109941.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,90.986.796.268,28.543.475.514,18.919.760.926,6.326.363.508,406.533.263,145.182.929.479,90986796268.0,28543475514.0,18919760926.0,6326363508.0,406533263.0,145182929479.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,83.939.420.452,23.177.048.433,10.787.088.868,6.144.519.654,314.656.235,124.362.733.642,83939420452.0,23177048433.0,10787088868.0,6144519654.0,314656235.0,124362733642.0
