row_label_raw,row_label_full,Ông Phí Mạnh Cường,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Bà Ngô Thị Thúy Mai,Phó Tổng Giám đốc,
Ông Hà Xuân Mai,Ông Hà Xuân Mai,Ông Hà Xuân Mai,Phó Tổng Giám đốc (Miễn nhiệm từ ngày 01 tháng 11 năm 2018),
Ông Vũ Văn Huống,Ông Vũ Văn Huống,Ông Vũ Văn Huống,Phó Tổng Giám đốc (Bố nhiệm từ ngày 15 tháng 3 năm 2019),
Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Ông Nguyễn Trung Kiên,Phó Tổng Giám đốc,
