row_label_raw,row_label_full,col_0,Triệu VND,numeric__Triệu VND
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,2.003.006,2003006.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,702.904,702904.0
Giảm lỗ thuần từ hoạt động kinh doanh ngoại hồi,Giảm lỗ thuần từ hoạt động kinh doanh ngoại hồi,Giảm lỗ thuần từ hoạt động kinh doanh ngoại hồi,230.813,230813.0
Giảm lãi thuần từ mua bán chứng khoán kinh doanh,Giảm lãi thuần từ mua bán chứng khoán kinh doanh,Giảm lãi thuần từ mua bán chứng khoán kinh doanh,(217.587),-217587.0
Tăng lãi thuần từ mua bán chứng khoán đầu tư,Tăng lãi thuần từ mua bán chứng khoán đầu tư,Tăng lãi thuần từ mua bán chứng khoán đầu tư,1.980.135,1980135.0
Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,571.627,571627.0
"Giảm thu nhập từ góp vốn, mua cổ phần","Giảm thu nhập từ góp vốn, mua cổ phần","Giảm thu nhập từ góp vốn, mua cổ phần",(2.537),-2537.0
Giảm chi phí hoạt động,Giảm chi phí hoạt động,Giảm chi phí hoạt động,673.084,673084.0
Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,(4.597.130),-4597130.0
,,,1.344.315,1344315.0
