row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.127,1.286.591,1.351.718,65127.0,1286591.0,1351718.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,11.090,11.090,,11090.0,11090.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,189.595,189.595,,189595.0,189595.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.127,1.487.276,1.552.403,65127.0,1487276.0,1552403.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,868,700.183,701.051,868.0,700183.0,701051.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,195.336,195.336,,195336.0,195336.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,868,895.519,896.387,868.0,895519.0,896387.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.259,586.408,650.667,64259.0,586408.0,650667.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.259,591.757,656.016,64259.0,591757.0,656016.0
