row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tại 31 tháng 12 năm 2021(Triệu VND)","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Khônghuống lãi","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Dưới1 tháng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến3 tháng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 3 đến6 tháng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 6 đến12 tháng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến5 năm","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trên 5 năm","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tổng cộng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Quá hạn","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Khônghuống lãi","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Dưới1 tháng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến3 tháng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 3 đến6 tháng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 6 đến12 tháng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Từ 1 đến5 năm","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Trên 5 năm","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tổng cộng"
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,2.345.733,-,-,-,-,-,-,2.345.733,,2345733.0,,,,,,,2345733.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,10.860.730,-,-,-,-,-,10.860.730,,,10860730.0,,,,,,10860730.0
Tiền gửi và cho vay các TCTDkhác - gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác - gộp,Tiền gửi và cho vay các TCTDkhác - gộp,83.146,-,45.436.490,5.150.625,5.644.772,872.741,-,-,57.187.774,83146.0,,45436490.0,5150625.0,5644772.0,872741.0,,,57187774.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,7.005.061,-,-,-,-,-,7.005.061,,,7005061.0,,,,,,7005061.0
Công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh vàcác tài sản tài chính khác,Công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,238.751,(7.010.731),(5.989.603),2.121.241,10.743.641,-,103.299,,,238751.0,-7010731.0,-5989603.0,2121241.0,10743641.0,,103299.0
Cho vay khách hàng vàmua nợ - gộp,Tài sản > Cho vay khách hàng vàmua nợ - gộp,Cho vay khách hàng vàmua nợ - gộp,19.167.552,-,188.299.015,34.136.593,30.085.677,29.880.714,53.845.040,832.563,356.247.154,19167552.0,,188299015.0,34136593.0,30085677.0,29880714.0,53845040.0,832563.0,356247154.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,12.556.750,14.030.112,4.165.445,5.499.469,13.845.490,25.923.832,76.036.455,,15357.0,12556750.0,14030112.0,4165445.0,5499469.0,13845490.0,25923832.0,76036455.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,249.731,-,-,-,-,-,-,249.731,,249731.0,,,,,,,249731.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.872.973,-,-,-,-,-,-,1.872.973,,1872973.0,,,,,,,1872973.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,91.418,45.714.931,-,-,-,-,-,-,45.806.349,91418.0,45714931.0,,,,,,,45806349.0
,,,19.342.116,50.198.725,264.396.797,46.306.599,33.906.291,38.374.165,78.434.171,26.756.395,557.715.259,19342116.0,50198725.0,264396797.0,46306599.0,33906291.0,38374165.0,78434171.0,26756395.0,557715259.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,-,8.444.199,2.181,7.807,188,-,-,8.454.375,,,8444199.0,2181.0,7807.0,188.0,,,8454375.0
"Tiền gửi và vay các TCTD,TCTC khác","Nợ phải trả > Tiền gửi và vay các TCTD,TCTC khác","Tiền gửi và vay các TCTD,TCTC khác",-,-,63.610.452,19.634.759,23.894.305,7.099.090,380.500,-,114.619.106,,,63610452.0,19634759.0,23894305.0,7099090.0,380500.0,,114619106.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,107.505.698,60.863.995,52.706.164,18.421.632,2.338.119,1.420,241.837.028,,,107505698.0,60863995.0,52706164.0,18421632.0,2338119.0,1420.0,241837028.0
"Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, chovay TCTD chịu rủi ro",-,-,325,103.605,-,-,-,-,103.930,,,325.0,103605.0,,,,,103930.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,2.771.241,7.504.986,14.406.169,22.416.803,34.196.434,-,81.295.633,,,2771241.0,7504986.0,14406169.0,22416803.0,34196434.0,,81295633.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,14.821.220,-,-,-,-,-,-,14.821.220,,14821220.0,,,,,,,14821220.0
,,,-,14.821.220,182.331.915,88.109.526,91.014.445,47.937.713,36.915.053,1.420,461.131.292,,14821220.0,182331915.0,88109526.0,91014445.0,47937713.0,36915053.0,1420.0,461131292.0
Mức chênh nhạy cảmvới lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất nội bảng,Mức chênh nhạy cảmvới lãi suất nội bảng,19.342.116,35.377.505,82.064.882,(41.802.927),(57.108.154),(9.563.548),41.519.118,26.754.975,96.583.967,19342116.0,35377505.0,82064882.0,-41802927.0,-57108154.0,-9563548.0,41519118.0,26754975.0,96583967.0
Mức chênh nhạy cảmvới lãi suất ngoại bảng,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất ngoại bảng,Mức chênh nhạy cảmvới lãi suất ngoại bảng,-,-,-,-,20.444.265,3.105.695,(12.249.110),(11.300.850),-,,,,,20444265.0,3105695.0,-12249110.0,-11300850.0,
"Mức chênh nhạy cảmvới lãi suất nội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảmvới lãi suất nội, ngoại bảng","Mức chênh nhạy cảmvới lãi suất nội, ngoại bảng",19.342.116,35.377.505,82.064.882,(41.802.927),(36.663.889),(6.457.853),29.270.008,15.454.125,96.583.967,19342116.0,35377505.0,82064882.0,-41802927.0,-36663889.0,-6457853.0,29270008.0,15454125.0,96583967.0
