row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Tại 31 tháng 12 năm 2021(Triệu VND)","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Chưa quá hạn và chưa phải lập dự phòng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Đã quá hạn nhưng chưa phải lập dự phòng","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Đã quá hạn và đã trích lập dự phòng",Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng,"numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Chưa quá hạn và chưa phải lập dự phòng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Đã quá hạn nhưng chưa phải lập dự phòng","numeric__Ngân hàng Thương mại Cổ phần Việt Nam Thịnh VượngSố 89 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2021 (tiếp theo) > Đã quá hạn và đã trích lập dự phòng",numeric__Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộng
Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,57.187.774,-,-,57.187.774,57187774.0,,,57187774.0
Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,7.005.061,-,-,7.005.061,7005061.0,,,7005061.0
Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,323.192.353,2.502.755,30.552.046,356.247.154,323192353.0,2502755.0,30552046.0,356247154.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,76.036.455,-,-,76.036.455,76036455.0,,,76036455.0
Tài sản Có khác - gộp,Tài sản Có khác - gộp,Tài sản Có khác - gộp,45.714.931,33.063,58.355,45.806.349,45714931.0,33063.0,58355.0,45806349.0
,,,509.136.574,2.535.818,30.610.401,542.282.793,509136574.0,2535818.0,30610401.0,542282793.0
Tại ngày 31 tháng 12 năm 2020(Triệu VND),Tại ngày 31 tháng 12 năm 2020(Triệu VND),Tại ngày 31 tháng 12 năm 2020(Triệu VND),Chưa quá hạn và chưa phải lập dự phòng,Đã quá hạn nhưng chưa phải lập dự phòng,Đã quá hạn và đã trích lập dự phòng,Tổng cộng,,,,
Tiền gửi và cho vay các TCTD khác,Tại ngày 31 tháng 12 năm 2020(Triệu VND) > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,19.554.808,-,-,19.554.808,19554808.0,,,19554808.0
Chứng khoán kinh doanh - gộp,Tại ngày 31 tháng 12 năm 2020(Triệu VND) > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,493.214,-,-,493.214,493214.0,,,493214.0
Cho vay khách hàng và mua nợ - gộp,Tại ngày 31 tháng 12 năm 2020(Triệu VND) > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,266.162.702,3.799.839,21.113.777,291.076.318,266162702.0,3799839.0,21113777.0,291076318.0
Chứng khoán đầu tư - gộp,Tại ngày 31 tháng 12 năm 2020(Triệu VND) > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,76.814.248,-,-,76.814.248,76814248.0,,,76814248.0
Tài sản Có khác - gộp,Tại ngày 31 tháng 12 năm 2020(Triệu VND) > Tài sản Có khác - gộp,Tài sản Có khác - gộp,24.734.415,-,57.674,24.792.089,24734415.0,,57674.0,24792089.0
,,,387.759.387,3.799.839,21.171.451,412.730.677,387759387.0,3799839.0,21171451.0,412730677.0
