row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2021VND,Tỷ giá ngày > 31/12/2020VND,numeric__Tỷ giá ngày > 31/12/2021VND,numeric__Tỷ giá ngày > 31/12/2020VND
AUD,AUD,AUD,16.678,17.660,16678.0,17660.0
CAD,CAD,CAD,17.969,18.165,17969.0,18165.0
CHF,CHF,CHF,25.021,26.186,25021.0,26186.0
CNY,CNY,CNY,3.596,3.539,3596.0,3539.0
DKK,DKK,DKK,3.160,3.160,3160.0,3160.0
EUR,EUR,EUR,25.990,28.523,25990.0,28523.0
GBP,GBP,GBP,30.911,31.160,30911.0,31160.0
JPY,JPY,JPY,199,224,199.0,224.0
NZD,NZD,NZD,17.249,17.249,17249.0,17249.0
SEK,SEK,SEK,3.078,3.078,3078.0,3078.0
SGD,SGD,SGD,16.946,17.504,16946.0,17504.0
THB,THB,THB,640,640,640.0,640.0
USD,USD,USD,22.830,23.100,22830.0,23100.0
XAU (*),XAU (*),XAU (*),613.000,558.250,613000.0,558250.0
