row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự trữbố sungvốn điều lệ,Quỹ dựphòng tài chính,Quỹ đầu tưphát triển,Lợi nhuậnchưa phân phối,Cổ phiếu quỹ,Lợi ích củacổ đôngthiếu số,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự trữbố sungvốn điều lệ,numeric__Quỹ dựphòng tài chính,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuậnchưa phân phối,numeric__Cổ phiếu quỹ,numeric__Lợi ích củacổ đôngthiếu số,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,25.299.680,692.720,1.116.526,3.290.424,2.700.455,11.805.967,(2.696.030),-,42.209.742,25299680.0,692720.0,1116526.0,3290424.0,2700455.0,11805967.0,-2696030.0,,42209742.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,10.413.760,-,-,10.413.760,,,,,,10413760.0,,,10413760.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,520.702,1.041.350,3.242.311,(4.804.363),-,-,-,,,520702.0,1041350.0,3242311.0,-4804363.0,,,
Phát hành cổ phiếu cho nhân viên tửcổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên tửcổ phiếu quỹ theo ESOP,Phát hành cổ phiếu cho nhân viên tửcổ phiếu quỹ theo ESOP,-,(326.993),-,-,-,-,496.993,,170.000,,-326993.0,,,,,496993.0,,170000.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,25.299.680,365.727,1.637.228,4.331.774,5.942.766,17.415.364,(2.199.037),-,52.793.502,25299680.0,365727.0,1637228.0,4331774.0,5942766.0,17415364.0,-2199037.0,,52793502.0
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,25.299.680,365.727,1.637.228,4.331.774,5.942.766,17.415.364,(2.199.037),-,52.793.502,25299680.0,365727.0,1637228.0,4331774.0,5942766.0,17415364.0,-2199037.0,,52793502.0
Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,11.721.208,-,(244.038),11.477.170,,,,,,11721208.0,,-244038.0,11477170.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,1.390.064,2.779.975,884.897,(5.054.936),-,-,-,,,1390064.0,2779975.0,884897.0,-5054936.0,,,
Phát hành cổ phiếu đề trả cổ tức vàphát hành cổ phiếu đề tăng vốn cổ phần(*),Phát hành cổ phiếu đề trả cổ tức vàphát hành cổ phiếu đề tăng vốn cổ phần(*),Phát hành cổ phiếu đề trả cổ tức vàphát hành cổ phiếu đề tăng vốn cổ phần(*),19.757.250,-,(807.872),-,(3.600.000),(15.349.378),-,-,-,19757250.0,,-807872.0,,-3600000.0,-15349378.0,,,
Phát hành cổ phiếu cho nhân viên tử cổphiếu quỹ theo ESOP (**),Phát hành cổ phiếu cho nhân viên tử cổphiếu quỹ theo ESOP (**),Phát hành cổ phiếu cho nhân viên tử cổphiếu quỹ theo ESOP (**),-,(288.525),-,-,-,-,438.525,-,150.000,,-288525.0,,,,,438525.0,,150000.0
Ảnh hưởng do thay đổi tỷ lệ sở hữu tácông ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu tácông ty con,Ảnh hưởng do thay đổi tỷ lệ sở hữu tácông ty con,-,-,-,-,-,13.706.956,-,8.150.519,21.857.475,,,,,,13706956.0,,8150519.0,21857475.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,45.056.930,77.202,2.219.420,7.111.749,3.227.663,22.439.214,(1.760.512),7.906.481,86.278.147,45056930.0,77202.0,2219420.0,7111749.0,3227663.0,22439214.0,-1760512.0,7906481.0,86278147.0
