row_label_raw,row_label_full,Tại 31 tháng 12 năm 2020(Triệu VND),Quá hạn,Khônghuống lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghuống lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,3.282.556,-,-,-,-,-,-,3.282.556,,3282556.0,,,,,,,3282556.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,5.779.610,-,-,-,-,-,5.779.610,,,5779610.0,,,,,,5779610.0
Tiền gửi và cho vay các TCTDkhác - gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác - gộp,Tiền gửi và cho vay các TCTDkhác - gộp,-,-,15.308.286,3.533.081,249.017,417.805,46.619,-,19.554.808,,,15308286.0,3533081.0,249017.0,417805.0,46619.0,,19554808.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,493.214,-,-,-,-,-,493.214,,,493214.0,,,,,,493214.0
Cho vay khách hàng vàmua nợ - gộp,Tài sản > Cho vay khách hàng vàmua nợ - gộp,Cho vay khách hàng vàmua nợ - gộp,12.709.634,-,177.714.267,28.106.701,18.688.678,23.168.807,29.820.656,867.575,291.076.318,12709634.0,,177714267.0,28106701.0,18688678.0,23168807.0,29820656.0,867575.0,291076318.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,13.577.890,13.888.949,4.535.499,1.861.143,18.242.966,24.692.444,76.814.248,,15357.0,13577890.0,13888949.0,4535499.0,1861143.0,18242966.0,24692444.0,76814248.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,238.602,-,-,-,-,-,-,238.602,,238602.0,,,,,,,238602.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.862.830,-,-,-,-,-,-,1.862.830,,1862830.0,,,,,,,1862830.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,57.674,24.734.415,-,-,-,-,-,-,24.792.089,57674.0,24734415.0,,,,,,,24792089.0
,,,12.767.308,30.133.760,212.873.267,45.528.731,23.473.194,25.447.755,48.110.241,25.560.019,423.894.275,12767308.0,30133760.0,212873267.0,45528731.0,23473194.0,25447755.0,48110241.0,25560019.0,423894275.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ vàNHNNVN,Nợ phải trả > Các khoản nợ Chính phủ vàNHNNVN,Các khoản nợ Chính phủ vàNHNNVN,-,440,42,2.181,9.505,2.052,-,-,14.220,,440.0,42.0,2181.0,9505.0,2052.0,,,14220.0
"Tiền gửi và vay các TCTD,TCTC khác","Nợ phải trả > Tiền gửi và vay các TCTD,TCTC khác","Tiền gửi và vay các TCTD,TCTC khác",-,-,21.507.462,16.282.191,4.185.517,13.573.612,962.500,-,56.511.282,,,21507462.0,16282191.0,4185517.0,13573612.0,962500.0,,56511282.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,85.115.886,67.327.936,49.778.500,26.133.313,5.071.019,1.299,233.427.953,,,85115886.0,67327936.0,49778500.0,26133313.0,5071019.0,1299.0,233427953.0
