row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2021,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền vàoTriệu VND > Tại ngày 31 tháng 12 năm 2021,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền raTriệu VND > Tại ngày 31 tháng 12 năm 2021,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền vàoTriệu VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Dòng tiền raTriệu VND > Tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán) > Giá trị thuầnTriệu VND > Tại ngày 31 tháng 12 năm 2021
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,62.203.676,62.008.819,(62.130.697),(121.878),62203676.0,62008819.0,-62130697.0,-121878.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,4.226.245,4.217.062,(4.201.864),15.198,4226245.0,4217062.0,-4201864.0,15198.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,57.977.431,57.791.757,(57.928.833),(137.076),57977431.0,57791757.0,-57928833.0,-137076.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,61.319.521,53.798.063,(53.572.886),225.177,61319521.0,53798063.0,-53572886.0,225177.0
,,,123.523.197,115.806.882,(115.703.583),103.299,123523197.0,115806882.0,-115703583.0,103299.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2020 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,62.330.973,61.820.905,(62.106.078),(285.173),62330973.0,61820905.0,-62106078.0,-285173.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2020 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,5.660.822,5.657.466,(5.602.537),54.929,5660822.0,5657466.0,-5602537.0,54929.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2020 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,56.670.151,56.163.439,(56.503.541),(340.102),56670151.0,56163439.0,-56503541.0,-340102.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2020 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,70.770.746,30.611.636,(30.466.288),145.348,70770746.0,30611636.0,-30466288.0,145348.0
,,,133.101.719,92.432.541,(92.572.366),(139.825),133101719.0,92432541.0,-92572366.0,-139825.0
